NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT03861013,Reward Under Stress: Effects of a Multidimensional Stress Prevention Program in University Students,,Completed,No Results Available,"Stress, Psychological",Behavioral: Multidimensional stress prevention program (GeDStress),Change in depression scores|Change in anxiety trait and state scores|Change in sense of coherence scores|Change in burnout scores|Change in social anxiety scores|Change in quality of life scores|Change in difficulties in emotion regulation scores|Change in perceived stress scores|Change in general self-efficacy scores|Change in mindfulness skills scores|Change in symptoms of mental health scores|Change in self-compassion scores|Change in perceived social support scores|Change in reward responsiveness scores|Change in self-esteem scores|Change in reactions after traumatic events scores|Childhood trauma|Posttraumatic stress|Change in cannabis abuse scores|Change in coping scores|Change in life orientation scores|Change in smartphone addiction scores|Change in internet addiction scores|Changes in clients progress through the course of the therapy scores|Change in ambulatory assessment scores|Change in the answer to the reward task scores|Change in cortisol levels in daily life|Change in cortisol levels in laboratory task,Chantal Martin Soelch|University of Fribourg|University of Bern,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,64,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,Reward_Stress|Project 6239,14-Mar-15,4-Jun-17,4-Jun-17,4-Mar-19,null,4-Mar-19,"University of Fribourg, Fribourg, Switzerland",,https://ClinicalTrials.gov/show/NCT03861013
NCT03850613,Alleviating Caregivers' Stress Through an E-painting Mobile Application,,Recruiting,No Results Available,Caregivers|Anxiety,Behavioral: E-painting mobile app,Caregivers' level of stress|Self-rated health status|Depressive symptoms|Instrumental and emotional social support,The Hong Kong Polytechnic University,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,30,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,G-YBWL,1-Oct-17,31-Mar-19,30-Apr-19,22-Feb-19,null,22-Feb-19,"The Hong Kong Polytechnic University, Hong Kong, Hong Kong",,https://ClinicalTrials.gov/show/NCT03850613
NCT03839147,The Effect of Education and Counseling on Reducing Pain and Anxiety in Women Undergoing Hysterosalpingography,,Completed,No Results Available,Women's Health,Behavioral: Education and counseling,Spielberger State Anxiety Scale|Visual Analog Scale for pain intensity,Saglik Bilimleri Universitesi Gulhane Tip Fakultesi,Female,18 Years to 45 Years   (Adult),Not Applicable,105,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",50687469,1-May-16,1-Jan-17,1-Jan-17,15-Feb-19,null,16-Apr-19,,,https://ClinicalTrials.gov/show/NCT03839147
NCT03829839,Effects of Oxytocin and Lorazepam on Fear-related Intra-amygdalar Activity,,Completed,No Results Available,"Oxytocin, Lorazepam, Anti-Anxiety Agents, Physiological Effects of Drugs",Drug: Oxytocin|Drug: Lorazepam 1 mg|Drug: Placebo nasalspray|Drug: Placebo Oral Tablet,Neural responses to emotional faces in the amygdala subregions,"University Hospital, Bonn",Male,18 Years to 40 Years   (Adult),Phase 1,120,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science",LOXY,3-Mar-16,16-Aug-17,16-Aug-17,4-Feb-19,null,17-Apr-19,"Department of Psychiatry, University of Bonn, Bonn, Germany",,https://ClinicalTrials.gov/show/NCT03829839
NCT03825978,Efficacy of Counseling for Prenatal Screening and Diagnostic Tests on Pregnant Women: Randomised Controlled Study,,Completed,No Results Available,"Decision Making|Chromosome Abnormality|Anxiety|Knowledge, Attitudes, Practice",Behavioral: Prenatal Genetic Counseling,Anxiety|Decisional Conflict|SURE Scale|Knowledge Form About Prenatal Genetic Screening and Diagnostic Tests|Attitudes Towards The Tests Scale|Decision Satisfaction Form|Decisional Conflict Scale,Saglik Bilimleri Universitesi Gulhane Tip Fakultesi,Female,19 Years to 46 Years   (Adult),Not Applicable,260,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care,Ilknur Yesilcinar,10-Jun-17,5-Mar-18,5-Mar-18,1-Feb-19,null,1-Feb-19,"Health Science University, Ankara, Turkey|University Of Health Sciences, Ankara, Turkey",,https://ClinicalTrials.gov/show/NCT03825978
NCT03827408,"Nebulized Midazolam, Dexmedetomidine, and Their Combination in Sedation of Preschoolers Undergoing Dental Treatment",,Recruiting,No Results Available,Dental Anxiety,Drug: Midazolam group (MDZ)|Drug: Dexmedetomidine group (DEX)|Drug: Combination of Midazolam and Dexmedetomidine (MDZ/DEX),Facemask acceptance during drug delivery|Effect of sedation on children's future behavior|The 'ease of treatment completion' sing separate five-point scales.|Post-operative effects of the sedation|Analgo-sedative effect of each drug|Analgo-sedative effect of each drug.|Amnesic effect of sedative agents.|Hemodynamic response of sedative agents.,Nourhan M.Aly|Alexandria University|University of Alexandria,All,4 Years to 6 Years   (Child),Phase 2,72,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Other",IORG0008839,27-Nov-17,Apr-19,Dec-19,1-Feb-19,null,1-Feb-19,"Faculty of Dentistry, Alexandria University, Alexandria, Egypt",,https://ClinicalTrials.gov/show/NCT03827408
NCT03822598,Promoting Asylum-seeking and Refugee Children's Coping With Trauma,,Completed,No Results Available,Mental Health Disorder|Post-Traumatic Stress Disorder in Adolescence|Depression|Social Anxiety,"Behavioral: Teaching Recovery Techniques, TRT","Children's Revised Impact of Event Scale (CRIES-13)|Screen for Child Anxiety Related Disorders (SCARED). 9 items tapping symptoms of generalized anxiety disorder, and 7 items tapping symptoms of social anxiety|Cantril Ladder|Montgomery-Aasberg Depression Scale, MADRS","Norwegian Institute of Public Health|University of Tromso|University of Bergen|Norwegian Directorate of Children, Youth, and Family Affairs|Norwegian Directorate of Immigration|Norwegian Directorate of Integration and Diversity",All,"8 Years to 20 Years   (Child, Adult)",Not Applicable,170,Other,Interventional,"Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment",16/54571,20-Jun-17,31-May-18,30-Jun-18,30-Jan-19,null,30-Jan-19,"Bergen Municipality, Bergen, Norway|Nordre Land municipality, Dokka, Norway|Drammen Municipality, Drammen, Norway|Engerdal Municipality, Drevsjø, Norway|Fredrikstad municipality, Fredrikstad, Norway|Gjøvik municipality, Gjøvik, Norway|Ringerike Municipality, Hønefoss, Norway|Grue municipality, Kirkenær, Norway|Levanger municipality, Leira, Norway|Lyngdal municipality, Lyngdal, Norway|Lyngdal municipality, Lyng, Norway|Bærum municipality, Rud, Norway|Salten municipality, Sjøvegan, Norway|Stavanger municipality, Stavanger, Norway|Trondheim municipality, Trondheim, Norway|Vadsø municipality, Vadsø, Norway","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/98/NCT03822598/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03822598
NCT03818490,Aromatherapy for Anxiety Among Children With Autism Spectrum Disorder,,Completed,No Results Available,Anxiety|Autism Spectrum Disorder,Other: Bergamot Aromatherapy,Change from baseline State Trait Anxiety Inventory for Children|Change from baseline in Blood Pressure|Change from baseline in Heart Rate,Franklin Institute of Wellness,All,6 Years to 11 Years   (Child),Not Applicable,28,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,17-1200,24-Jun-16,9-Mar-18,30-Mar-18,28-Jan-19,null,28-Jan-19,"Franklin Institute of Wellness, Franklin, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT03818490
NCT03818789,Acceptance and Mindfulness for Exercise in Anxiety,,Recruiting,No Results Available,Anxiety,Behavioral: Mindfulness and acceptance training|Behavioral: Study skills video,"Amount of time run in minutes|Amount of time in minutes of vigorous and moderate exercise in following week|Anxiety symptoms: Generalized Anxiety Disorder - 7 Scale, Beck Anxiety Inventory|Depression symptoms: Beck Depression Inventory|Mindfulness during exercise: State Mindfulness Scale for Physical Activity",University of Texas at Austin,All,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,120,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,2016-11-0091,23-Feb-17,Aug-19,Sep-19,28-Jan-19,null,28-Jan-19,"College of Liberal Arts, Austin, Texas, United States",,https://ClinicalTrials.gov/show/NCT03818789
NCT03819166,Behavioral Support Techniques on Anxiety and Physical Reaction From Dental Treatment,,Recruiting,No Results Available,Dental Anxiety|Dental Diseases|Dental Trauma,Device: with deep touch pressure application|Device: without deep touch pressure application,Heart Rate Variability (HRV)|Electrodermal Activity (EDA)|Dental Anxiety Scale (DAS)|Numeric State Anxiety Scale (NSAS),National Taiwan University Hospital,All,"10 Years to 75 Years   (Child, Adult, Older Adult)",Not Applicable,200,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care,201012061RC,11-Mar-11,18-Jul-13,31-Dec-19,28-Jan-19,null,28-Jan-19,"National Taiwan University Hospital, Taipei, Taiwan",,https://ClinicalTrials.gov/show/NCT03819166
NCT03810391,Using Preoperative Anxiety Score to Determine the Total Dose of Butorphanol for Sedation,,Completed,No Results Available,Preoperative Anxiety Score|Total Dose of Butorphanol,Drug: Butorphanol|Other: physiological saline,"preoperative anxiety score (Amsterdam preoperative anxiety and information scale, APAIS)|Ramsay sedation score (Ramsay sedation scale, RSS)|the time when Ramsay sedation score reached 4 points|vital signs|The incidence of nausea/ vomiting, dizzy, bradycardia and hypotension|post-operative visual analgesia scale scores (VAS)|Vital signs",Shengjing Hospital,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,126,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Effect of butorphanol,1-Dec-17,20-Dec-18,31-Dec-18,18-Jan-19,null,18-Jan-19,"shengjing hospital of China medical university, Shenyang, Liao Ning, China",,https://ClinicalTrials.gov/show/NCT03810391
NCT03810599,Patient-reported Outcomes in the Bergen Early Cardiac Rehabilitation Study,BECARES,Recruiting,No Results Available,Coronary Artery Disease,Other: Early cardiac rehabilitation,"Time to composite of total mortality, and hospitalization for heart failure and atherothrombotic disease (including non-fatal MI, unstable angina and stroke).|Change in Self-reported health|Change in self-reported global health|Change in post traumatic growth|Nicotine dependence|Change in anxiety and depression|Change in physical and mental dimensions of health|Change in health status following myocardial infarction",Haukeland University Hospital,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,870,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,2014/333,9-Sep-13,Feb-19,Feb-29,18-Jan-19,null,18-Jan-19,"Haukeland University Hospital, Bergen, Norway",,https://ClinicalTrials.gov/show/NCT03810599
NCT03798548,Brief CBT for Patients Undergoing TAVR,,Completed,No Results Available,"Depression, Anxiety",Behavioral: Brief Bedside CBT,Change from Baseline Score on Beck Depression Inventory II (BDI-II)|Change from Baseline Score on State Trait Anxiety Inventory Form YI (STAI-YI)|Change from Baseline Score on Minnesota Living With Heart Failure Questionnaire (MLHFQ)|Change from Baseline Score on 12-Item Short Form Health Survey (SF12v2),Stanford University,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,146,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention",32178,15-Jan-15,31-Mar-17,15-May-17,10-Jan-19,null,10-Jan-19,,,https://ClinicalTrials.gov/show/NCT03798548
NCT03790696,Novel Anxiety Treatment,,Recruiting,No Results Available,Cognitive Training|Anxiety Disorders,Device: Cognitive Training Program,Change in symptoms of anxiety based on Screen for Anxiety and Related Disorders (SCARED)|Change in symptoms of anxiety based on Pediatric Anxiety Rating Scale (PARS).,Washington University School of Medicine|National Institutes of Health (NIH),All,8 Years to 12 Years   (Child),Not Applicable,60,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",201702012,2-Feb-17,30-Jun-19,30-Jun-19,1-Jan-19,null,1-Jan-19,"Washinton University School of Medicine, Saint Louis, Missouri, United States",,https://ClinicalTrials.gov/show/NCT03790696
NCT03786328,An Outreach Collaborative Model for Early Identification and Treatment of Mental Disorder in Danish Workplaces,,Completed,No Results Available,"Depression, Anxiety",Behavioral: Standard Psychiatric Treatment|Behavioral: Preventive Psychological Treatment,Change in Severity of Psychopathological symptoms,Helle Østermark Sørensen|Spar Nord Foundation|Aalborg University Hospital,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,73,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Screening,2013-18,1-Apr-08,31-Aug-13,31-Aug-13,25-Dec-18,null,25-Dec-18,,,https://ClinicalTrials.gov/show/NCT03786328
NCT03764644,Web-based Attention Bias Modification Treatment for Childhood Anxiety Disorders,ATTENTIO,Terminated,No Results Available,"Anxiety Disorder|Anxiety Disorder of Childhood|Separation Anxiety Disorder of Childhood, Early Onset|Specific Phobia|Social Anxiety Disorder|Generalized Anxiety Disorder",Behavioral: Combined ABMT and CBT|Behavioral: Combined Sham ABMT and CBT,Anxiety disorder status|Number of anxiety disorders|Anxiety symptoms|Depression symptoms,Erasmus Medical Center,All,8 Years to 16 Years   (Child),Not Applicable,55,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",S13-11,Oct-13,Feb-17,Jul-17,5-Dec-18,null,5-Dec-18,"Erasmus MC - Sophia Children's Hospital, Rotterdam, Zuid-Holland, Netherlands",,https://ClinicalTrials.gov/show/NCT03764644
NCT03758599,Exercise in Anxiety and Posttraumatic Stress Disorders,,Recruiting,No Results Available,Anxiety,Procedure: Climbing|Procedure: Nordic Walking|Procedure: Social Contact,"Change from Baseline (t1) Symptoms of Anxiety at four weeks (t2), three months after intervention (t3) and six months after intervention (t4)|Change from Baseline (t1) Symptoms of Posttraumatic Stress Disorder at four weeks (t2), three months after intervention (t3) and six months after intervention (t4)|Change from Baseline (t1) Depression at four weeks (t2), three months after intervention (t3) and six months after intervention (t4)|Change from Baseline (t1) Worry Symptoms at four weeks (t2), three months after intervention (t3) and six months after intervention (t4)|Change from Baseline (t1) Quality of Life (WHO) at four weeks (t2), three months after intervention (t3) and six months after intervention (t4)|Change from Baseline (t1) Self Efficacy at four weeks (t2), three months after intervention (t3) and six months after intervention (t4)|Affective Responses_a|Affective Responses_b|Affective Responses_c|Affective Responses_d|Change from Baseline (t1) Analyses of neurotransmitter metabolites at four weeks (t2), three months after intervention (t3) and six months after intervention (t4)|Change from Baseline (t1) Analyses of immune-activation markers at four weeks (t2), three months after intervention (t3) and six months after intervention (t4)",Universitaet Innsbruck|Medical University Innsbruck,All,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,30,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,256912,1-Oct-17,Oct-19,Apr-20,29-Nov-18,null,29-Nov-18,"University of Innsbruck, Innsbruck, Tyrol, Austria",,https://ClinicalTrials.gov/show/NCT03758599
NCT03754647,Effect of Vitamin C Upon SSRI-treated OCD Patients,,Recruiting,No Results Available,OCD,Dietary Supplement: Vitamin C,To examine the effect of vitamin C upon Selective Serotonin Reuptake Inhibitors (SSRIs) - treated Obsessive Compulsive Disorder patients.,"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh",All,18 Years to 50 Years   (Adult),Not Applicable,90,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BSMMU/2018/3110,14-Dec-17,10-Feb-19,10-Feb-19,27-Nov-18,null,28-Nov-18,"BSMMU, Dhaka, Bangladesh",,https://ClinicalTrials.gov/show/NCT03754647
NCT03755284,The Effect of Sacral Massage on Labor,,Completed,No Results Available,Labor Pain,Other: Sacral Massage,The state-trait anxiety inventory (STAI FORM TX-I) evaluated|The Visual Analogue Scale (VAS) evaluated,"Semra Çevik, phD|University of Gaziantep",Female,19 Years to 40 Years   (Adult),Not Applicable,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Sacral Massage,25-Jan-16,25-Oct-16,25-Oct-16,27-Nov-18,null,7-Dec-18,"Gaziantep University, Gaziantep, Şahinbey, Turkey","""Statistical Analysis Plan: statistical analysis"", https://ClinicalTrials.gov/ProvidedDocs/84/NCT03755284/SAP_000.pdf|""Informed Consent Form: Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/84/NCT03755284/ICF_001.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/84/NCT03755284/Prot_002.pdf",https://ClinicalTrials.gov/show/NCT03755284
NCT03748394,Interventions to Facilitate Working While Depressed and Anxious,,Recruiting,No Results Available,Work Capacity,Behavioral: Work-directed rehabilitation|Behavioral: Physical activity,Work ability|Depression severity|Anxiety symptoms|Mental wellbeing,Göteborg University,All,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,60,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,VGFOUREG-588531,1-Feb-17,Dec-18,Dec-18,20-Nov-18,null,20-Nov-18,"Närhälsan Gibraltar Rehabmottagning, Gothenburg, Sweden",,https://ClinicalTrials.gov/show/NCT03748394
