NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT03878290,RiSE to Prevent Cardiovascular Disease in African Americans,,Recruiting,No Results Available,Atherosclerosis|Stress|Hypertension|Dyslipidemias|Obesity|Diabetes|Coronary Artery Disease,"Behavioral: Resilience, Stress, and Ethnicity (RiSE)",Feasibility of RiSE intervention: questionnaire|Coping|Coping with Discrimination|Resilience|Inflammatory burden,Loyola University,All,"25 Years to 75 Years   (Adult, Older Adult)",Not Applicable,100,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,210130,3-Aug-17,1-Jul-19,1-Jul-19,18-Mar-19,null,18-Mar-19,"Loyola University Chicago, Maywood, Illinois, United States",,https://ClinicalTrials.gov/show/NCT03878290
NCT03867110,"An Efficacy and Safety Study of Ezetimibe (MK-0653, SCH 58235) in Addition to Atorvastatin Compared to Placebo in Participants With Primary Hypercholesterolemia (MK-0653-013)",,Completed,No Results Available,Hypercholesterolemia,Drug: Placebo|Drug: Ezetimibe 10 mg|Drug: Atorvastatin 10 mg|Drug: Atorvastatin 20 mg|Drug: Atorvastatin 40 mg|Drug: Atorvastatin 80 mg,"Percent Change from Baseline at Week 12 of Plasma Low Density Lipoprotein Cholesterol (LDL-C)|Percent Change from Baseline at Week 12 for Calculated Low Density Lipoprotein-Cholesterol (LDL-C)|Percent Change from Baseline at Week 12 for Total Cholesterol (TC)|Percent Change from Baseline at Week 12 for Triglycerides (TG)|Percent Change from Baseline at Week 12 for High Density-Lipoprotein-Cholesterol (HDL-C)|Percent Change from Baseline at Week 12 for Apolipoprotein B (Apo B)|Percent Change from Baseline at Week 12 for Non-High Density-Lipoprotein-Cholesterol (Non-HDL-C)|Percent Change from Baseline at Week 12 for High Density-Lipoprotein 2-Cholesterol (HDL2-C)|Percent Change from Baseline at Week 12 for High Density-Lipoprotein 3-Cholesterol (HDL3-C)|Percent Change from Baseline at Week 12 for Apolipoprotein A-I (Apo A-I),|Percent Change from Baseline at Week 12 for Direct Low Density-Lipoprotein 3-Cholesterol/High Density-Lipoprotein 3-Cholesterol (LDL-C/HDL-C) Ratio|Percent Change from Baseline at Week 12 for Direct Total Cholesterol/High Density-Lipoprotein 3-Cholesterol (TC/HDL-C) Ratio|Percent Change from Baseline at Week 12 for Lipoprotein (a) (Lp[a])|The Percentage of Participants Achieving National Cholesterol Education Program (NCEP) Adult Treatment Panel (ATP II) Target Goal for Direct Low Density Lipoprotein-Cholesterol (LDL-C)",Merck Sharp & Dohme Corp.,All,"18 Years and older   (Adult, Older Adult)",Phase 3,628,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",P00692|MK-0653-013,6-Mar-00,27-Jul-01,27-Jul-01,7-Mar-19,null,7-Mar-19,,,https://ClinicalTrials.gov/show/NCT03867110
NCT03867318,"Efficacy and Safety Study of Ezetimibe (SCH 58235, MK-0653) in Addition to Atorvastatin in Participants With Coronary Heart Disease or Multiple Cardiovascular Risk Factors (P00693/MK-0653-030)",,Completed,No Results Available,Hypercholesterolemia,Drug: Atorvastatin|Drug: Ezetimibe|Drug: Placebo for Ezetimibe|Drug: Placebo for Atorvastatin,Percentage of Participants Achieving Target Low-Density-Lipoprotein Cholesterol (LDL-C) Levels of ≤100 mg/dL|Percentage of Participants With an Adverse Event|Percentage of Participants Who Discontinued the Study due to an Adverse Event|Percentage of Participants Achieving Target LDL-C level (≤100 mg/dL)|Mean Percent Change from Baseline in Direct LDL-C|Mean Percent Changes from Baseline for Calculated LDL-C|Mean Percent Changes from Baseline for Total Cholesterol (TC)|Mean Percent Changes from Baseline for Triglycerides (TG)|Mean Percent Changes from Baseline for High-Density-Lipoprotein Cholesterol (HDL-C),Merck Sharp & Dohme Corp.,All,"18 Years and older   (Adult, Older Adult)",Phase 3,621,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",P00693|MK-0653-030,24-Apr-00,16-Nov-01,16-Nov-01,7-Mar-19,null,14-Mar-19,,,https://ClinicalTrials.gov/show/NCT03867318
NCT03756779,Cross-over Pilot Study of Blood Cholesterol Response to Dietary Saturated Fat in Patients With Autosomal Dominant Hypercholesterolemia,,Withdrawn,No Results Available,Familial Hypercholesterolemia,Other: Dietary intervention,Change in LDL-cholesterol,University of Texas Southwestern Medical Center,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,0,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,122016-032,15-May-17,30-Jun-20,30-Jun-20,28-Nov-18,null,28-Nov-18,"UT Southwestern Medical Center, Dallas, Texas, United States",,https://ClinicalTrials.gov/show/NCT03756779
NCT03742219,Peru Longitudinal Study,,Recruiting,No Results Available,Cardiovascular Diseases|Diabetes Mellitus|Hypertension|Dyslipidemias|Overweight and Obesity,Behavioral: Lifestyle Modification,Weight|Systolic blood pressure|Diastolic Blood Pressure|glycosylated hemoglobin|Total cholesterol|Low-density lipoprotein cholesterol|High density lipoprotein cholesterol|Triglycerides|Herth Hope Index|Household hunger scale|Patient Health Questionnaire - 4 (PHQ-4)|Exercise vital sign|Perceived Stress Scale|24 hour dietary recall,Ohio University,All,"12 Years and older   (Child, Adult, Older Adult)",Not Applicable,1000,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,17-X-88,5-Jun-17,1-Jul-26,30-Jun-27,15-Nov-18,null,15-Nov-18,"Ohio University, Athens, Ohio, United States",,https://ClinicalTrials.gov/show/NCT03742219
NCT03739242,Effect of a Treatment With a Nutraceutical Combination on Sub-optimal LDL Cholesterol Levels,NATCOL,Completed,No Results Available,Hypercholesterolemia,Dietary Supplement: Nutraceutical combination|Other: Placebo,Change in blood LDL cholesterol level|Change in total blood cholesterol level|Change in blood HDL cholesterol level|Change in blood non-HDL cholesterol level|Change in blood triglycerides level|Change in blood apolipoprotein B Level|Change in total cholesterol/HDL cholesterol ratio|Change in total LDL cholesterol/HDL cholesterol ratio|Change in Puse Volume (PV) waveform (endothelial reactivity)|Change in Glycemia|Change in aspartate aminotransferase (AST)|Change in alanine aminotransferase (ALT)|Change in gamma glutamyl transpeptidase (GGT)|Change in serum creatinine|Change in serum uric acid|Change in creatine phosphokinase (CPK),A. Menarini Industrie Farmaceutiche Riunite S.r.l.,All,"30 Years to 75 Years   (Adult, Older Adult)",Not Applicable,88,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",MEIF/MOF-Col/001,12-Oct-17,29-Aug-18,29-Aug-18,12-Nov-18,null,14-Nov-18,"Policlinico S.Orsola - Malpighi Medicina Interna Borghi, Bologna, Italy",,https://ClinicalTrials.gov/show/NCT03739242
NCT03728621,Lifestyle Interventions and Metabolic Profile in Obese Children,,Completed,No Results Available,Childhood Obesity|Obesity|Pediatric Obesity|Dyslipidemias|Cardiovascular Risk Factor|Life Style,"Behavioral: Normocaloric and balanced diet, physical activity",Height|Blood levels of total cholesterol|Weight|Body Mass Index (BMI)|Waist-to-height ratio|Waist circumference|Triceps Skinfold Thickness|Tanner Stage|Blood levels of LDL cholesterol|Blood levels of HDL cholesterol|Blood levels of triglycerides|Blood levels of apolipoprotein A1 (ApoA1)|Blood levels of apolipoprotein B (ApoB)|Blood levels of insulin|Blood levels of glucose|HOmeostatic Model Assessment of Insulin Resistance (HOMA-IR)|QUantitative Insulin sensitivity ChecK (QUICK) index|HOMA-β%|Triglyceride-Glucose index (TyG index)|Atherogenic Index of Plasma (AIP),University of Milan,All,"6 Years and older   (Child, Adult, Older Adult)",Not Applicable,170,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,139/2010/CE,Jan-12,Jun-17,Jun-18,2-Nov-18,null,2-Nov-18,"Ospedale San Paolo, Milan, Italy",,https://ClinicalTrials.gov/show/NCT03728621
NCT03680027,Effects Of Walnut-Enriched Diet On Blood Lipids And Glucose Profiles In Hyperlipidemic Subjects,,Completed,No Results Available,Hyperlipidemias,Dietary Supplement: Walnut-enriched Group,Reduction in serum lipids and fasting glucose levels,Eastern Mediterranean University,All,"30 Years to 65 Years   (Adult, Older Adult)",Not Applicable,37,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,2015/13-04,10-Jul-15,27-Aug-15,30-Sep-15,21-Sep-18,null,24-Sep-18,,,https://ClinicalTrials.gov/show/NCT03680027
NCT03676309,Efficacy and Safety of Nutraceuticals in Patients With Diabetes Mellitus Type II and Dyslipidemia.,,Completed,No Results Available,"Diabetes Mellitus, Type 2|Nutritional and Metabolic Diseases|Vascular System Injury|Therapy-Related Morphologic Change","Drug: Nutriceutical Oral Capsule,|Drug: Placebo Oral Tablet",colesterol|Endothelial function,Villa dei Gerani|University Magna Graecia,null,"30 Years and older   (Adult, Older Adult)",Phase 2,90,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",PON03PE_00078_2,1-Sep-17,26-Mar-18,26-Mar-18,18-Sep-18,null,18-Sep-18,"Capomolla Antonio, Monterosso Calabro, VV, Italy",,https://ClinicalTrials.gov/show/NCT03676309
NCT03663465,The Effect of Hawthorn on Lipoprotein Cholesterol Ratio in Schizophrenics With Antipsychotics,,Completed,No Results Available,Schizophrenia,Other: Hawthorn|Drug: SGAs,lipid profiles,Calo Psychiatric Center,All,"16 Years to 65 Years   (Child, Adult, Older Adult)",Not Applicable,135,Other,Interventional,"Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",MAB101-109,1-Jan-13,31-Dec-13,31-Jul-14,10-Sep-18,null,10-Sep-18,,,https://ClinicalTrials.gov/show/NCT03663465
NCT03657472,Bioequivalence Study of CJ-30061 in Healthy Male Volunteers,,Completed,No Results Available,Hypertension|Hyperlipidemia,Drug: CJ-30061|Drug: Exforge® 5/160mg & Lipitor® 20mg,Cmax of amlodipine|Cmax of valsartan|Cmax of atorvastatin|AUCt of amlodipine|AUCt of valsartan|AUCt of atorvastatin|tmax of amlodipine|tmax of valsartan|tmax of atorvastatin|t1/2 of atorvastatin|t1/2 of amlodipine|t1/2 of valsartan|AUCinf of amlodipine|AUCinf of valsartan|AUCinf of atorvastatin|AUCt of 2-OH atorvastatin|Cmax of 2-OH atorvastatin|tmax of 2-OH atorvastatin|t1/2 of 2-OH atorvastatin|AUCinf of 2-OH atorvastatin,CJ HealthCare Corporation,Male,19 Years to 55 Years   (Adult),Phase 1,42,Industry,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,CJ_EXA_103,19-Sep-16,29-Oct-16,9-Nov-16,5-Sep-18,null,5-Sep-18,"Samsung Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03657472
NCT03649269,PC-300 Tea Effect on Triglyceride Levels,,Completed,No Results Available,Hypertriglyceridemia,Dietary Supplement: PC-300 tea.|Drug: Bezafibrate,Triglycerides serum levels.,Ciprés Grupo Médico CGM SC,All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,34,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2014/02,1-Jan-14,30-Nov-14,31-Dec-14,28-Aug-18,null,28-Aug-18,,,https://ClinicalTrials.gov/show/NCT03649269
NCT03639480,Study to Evaluate the Safety and Efficacy of CJ-30061 in Hypertensive Patients With Hyperlipidemia,,Enrolling by invitation,No Results Available,Hypertension|Hyperlipidemia,Drug: Amlodipine 10mg+Valsartan 160mg+Atorvastatin 40mg|Drug: Amlodipine 10mg+Valsartan 160mg|Drug: Valsartan 160mg+Atorvastatin 40mg,Change in siSBP|Change in LDL-C,CJ HealthCare Corporation,All,"19 Years to 74 Years   (Adult, Older Adult)",Phase 3,180,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",CJ_EXA_301,13-Oct-17,Oct-18,Oct-18,21-Aug-18,null,21-Aug-18,"Asan Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03639480
NCT03638362,Tart Cherry Juice and Chronic Disease Risk,,Completed,No Results Available,CVD|Diabetes|Inflammation,Dietary Supplement: Placebo|Dietary Supplement: Tart cherry juice,TCJ and hsCRP|fasting triglycerides,University of Memphis|Arizona State University,All,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,10,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,10015542,21-Aug-09,30-Sep-11,30-Sep-11,20-Aug-18,null,20-Aug-18,,,https://ClinicalTrials.gov/show/NCT03638362
NCT03618797,A Clinical Trial to Evaluate the Efficacy and Safety of Pitavastatin/Fenofibrate in Complex-dyslipidemia,,Completed,No Results Available,Complex-dyslipidemia,Drug: HL-PIF cap.160/2mg + Placebo|Drug: Livalo tab. 2mg + Placebo,The mean percentage change of Non-HDL Cholesterol|The mean percentage change of LDL-C|The mean percentage change of HDL-C|The mean percentage change of LDL-C/HDL-C|The mean percentage change of TC/HDL-C|The mean percentage change of non-HDL-C/HDL-C|The mean percentage change of VLDL-C|The mean percentage change of TG|The mean percentage change of TC|The mean percentage change of Apo Al|The mean percentage change of Apo B|The mean percentage change of Apo Al/Apo B|The mean percentage change of fibrinogen|The mean percentage change of hs-CRP|Achievement rate(%) of treatment goals after 4 weeks and 8 weeks,"Hanlim Pharm. Co., Ltd.",All,"19 Years to 80 Years   (Adult, Older Adult)",Phase 3,347,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",HL-PIF-301,Nov-15,Jan-18,May-18,7-Aug-18,null,7-Aug-18,,,https://ClinicalTrials.gov/show/NCT03618797
NCT03615534,Extended Release Niacin and Fenofibrate for the Treatment of Atherogenic Dyslipidemia in Obese Females,,Completed,Has Results,Atherogenic Dyslipidemia|Obesity Associated Disorder,Other: Therapeutic Lifestyle Changes|Other: Placebo|Drug: Fenofibrate|Dietary Supplement: Wax Matrix Extended Release Niacin (WMER Niacin),Changes Serum Triglyceride Levels|Changes in Serum Lipoprotein Cholesterol Levels|Changes in Serum Apolipoprotein Levels|Changes in Serum Fasting Glucose Levels.|Changes in Estimated Glomerular Filtration Rate (eGFR)|Changes in Serum Uric Acid Levels|Changes in Serum Enzymes Levels|Changes in Systolic and Diastolic Blood Pressure|Adverse Events,"Lewai Sharki Abdulaziz, MSc PhD|Al-Kindy College of Medicine",Female,20 Years to 60 Years   (Adult),Phase 4,161,Other,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,1Al-KindyCM,1-Oct-14,30-Jun-15,30-Oct-15,6-Aug-18,12-Oct-18,19-Apr-19,"Al Kindy College of Medicine, University of Baghdad, Baghdad, Iraq|Lewai S Abdulaziz, Baghdad, Iraq",,https://ClinicalTrials.gov/show/NCT03615534
NCT03604471,Lipid-lowering Therapy Individualization,,Recruiting,No Results Available,Hypercholesterolemia,Drug: Atorvastatin,Atorvastatin population pharmacokinetics|Atorvastatin metabolites population pharmacokinetics|Cholesterol|Creatine kinase|Occurrence of adverse drug events|Pharmacogene genotype|Triglycerides,Université Catholique de Louvain|Cliniques universitaires Saint-Luc- Université Catholique de Louvain,All,"18 Years and older   (Adult, Older Adult)",Phase 4,150,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,2016/26OCT/471,8-Aug-17,Aug-19,Aug-19,27-Jul-18,null,18-Apr-19,"Cliniques universitaires Saint-Luc, Brussels, Belgium",,https://ClinicalTrials.gov/show/NCT03604471
NCT03591588,Effects of Diet Interventions on Monocytes in Metabolic Syndrome,,Recruiting,No Results Available,Metabolic Syndrome|Hypertriglyceridemia,Other: diet,Effects of diet interventions on monocyte phenotypes,Baylor College of Medicine,All,"21 Years to 75 Years   (Adult, Older Adult)",Not Applicable,50,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Basic Science,H21418,1-Apr-16,31-Mar-20,31-Mar-20,19-Jul-18,null,16-Jan-19,"Center for Prevention of cardiometabolic disease, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03591588
