"","ApplNo","SubmissionClassCodeID.x","SponsorName","NAME_EDIT","EMPLOYEES","ESTIMATED","Orig_App_Date","SubmissionClassCodeID.y","SubmissionNo","SubmissionStatusDate","ReviewPriority.y","DAY_DELAY","SURVIVAL","NDA","ORIG_PRIORITY","DrugName","ActiveIngredient"
"30",22426,14,"TAKEDA PHARMS USA","TAKEDA PHARMS USA",27230,0,2013-01-25,4,1,2013-08-15,"STANDARD",202,1,1,0,"oseni","alogliptin benzoate; pioglitazone hydrochloride"
"31",22445,15,"HERON THERAPS INC","HERON THERAPS INC",139,0,2016-08-09,NA,NA,NA,NA,1084,0,1,0,"sustol","granisetron"
"32",22453,15,"TEVA PHARMS USA","TEVA",42535,0,2012-12-20,4,1,2013-10-03,"STANDARD",287,1,1,0,"topotecan hydrochloride","topotecan hydrochloride"
"33",22458,7,"PFIZER","PFIZER",92400,0,2012-05-01,4,1,2014-01-13,"STANDARD",622,1,1,0,"elelyso","taliglucerase alfa"
"34",22472,15,"MANNKIND","MANNKIND",153,0,2014-06-27,3,5,2015-03-12,"STANDARD",258,1,1,0,"afrezza","insulin recombinant human"
"35",22503,12,"PRIMUS PHARMS","PRIMUS PHARMS",69,1,2015-06-01,NA,NA,NA,NA,1519,0,1,0,"metaxalone","metaxalone"
"36",22517,15,"FERRING PHARMS INC","FERRING PHARMS INC",6500,0,2018-06-21,NA,NA,NA,NA,403,0,1,0,"nocdurna","desmopressin acetate"
"37",22526,7,"SPROUT PHARMS","SPROUT PHARMS",0,1,2015-08-18,21,2,2016-04-08,"N/A",234,1,1,0,"addyi","flibanserin"
"38",22529,7,"EISAI INC","EISAI INC",10452,0,2012-06-27,4,1,2013-01-04,"STANDARD",191,1,1,0,"belviq","lorcaserin hydrochloride"
"39",22535,7,"GENENTECH INC","GENENTECH",14717,0,2014-10-15,4,1,2015-09-24,"PRIORITY",344,1,1,1,"esbriet","pirfenidone"
"40",22542,17,"FOREST LABS INC","FOREST LABS INC",6200,1,2012-03-01,4,1,2014-01-06,"STANDARD",676,1,1,0,"viokace","pancrelipase (amylase;lipase;protease)"
"41",22549,12,"GALEN UK","GALEN UK",57,1,2012-12-21,21,2,2013-12-09,"N/A",353,1,1,0,"adasuve","loxapine"
"42",22556,12,"TRIS PHARMA INC","TRIS PHARMA INC",600,1,2013-03-28,4,1,2015-09-10,"STANDARD",896,1,1,0,"karbinal er","carbinoxamine maleate"
"43",22572,12,"MOBIUS THERAP","MOBIUS THERAP",54,1,2012-02-07,3,3,2014-09-25,"STANDARD",961,1,1,1,"mitosol","mitomycin"
"44",22577,12,"GILEAD SCIENCES INC","GILEAD SCIENCES INC",11000,0,2012-01-18,2,1,2012-08-07,"STANDARD",202,1,1,1,"viread","tenofovir disoproxil fumarate"
"45",22580,14,"VIVUS","VIVUS",65,0,2012-07-17,21,1,2012-11-01,"N/A",107,1,1,0,"qsymia","phentermine hydrochloride; topiramate"
"46",125294,7,"SICOR BIOTECH","TEVA",42535,0,2012-08-29,3,7,2013-07-19,"STANDARD",324,1,0,0,"granix","tbo-filgrastim"
"47",125327,7,"BTG INTERNATIONAL INC","BTG INTERNATIONAL INC",1510,0,2012-01-17,3,20,2013-03-29,"STANDARD",437,1,0,1,"voraxaze","glucarpidase"
"48",125349,7,"HUMAN GENOME SCIENCES INC.","GLAXOSMITHKLINE",99827,0,2012-12-14,2,22,2018-01-11,"PRIORITY",1854,1,0,1,"raxibacumab","raxibacumab"
"49",125390,7,"AEGERION","AEGERION",318,0,2014-02-24,3,4,2014-06-30,"STANDARD",126,1,0,1,"myalept","metreleptin"
"50",125409,7,"GENENTECH","GENENTECH",14717,0,2012-06-08,2,32,2013-04-12,"PRIORITY",308,1,0,1,"perjeta","pertuzumab"
"51",125418,7,"SANOFI AVENTIS US","SANOFI",106859,0,2012-08-03,3,20,2013-10-25,"STANDARD",448,1,0,1,"zaltrap","ziv-aflibercept"
"52",125422,7,"THROMBOGENICS, INC","THROMBOGENICS, INC",151,1,2012-10-17,2,25,2014-06-13,"PRIORITY",604,1,0,1,"jetrea","ocriplasmin"
"53",125427,7,"GENENTECH","GENENTECH",14717,0,2013-02-22,3,12,2013-08-19,"STANDARD",178,1,0,1,"kadcyla","ado-trastuzumab emtansine"
"54",125431,7,"GLAXOSMITHKLINE LLC","GLAXOSMITHKLINE",99827,0,2014-04-15,3,8,2015-03-09,"901 REQUIRED",328,1,0,0,"tanzeum","albiglutide"
"55",125433,19,"JANSSEN BIOTECH","JANSSEN",135100,0,2013-07-18,3,2,2014-02-04,"STANDARD",201,1,0,0,"simponi aria","golimumab"
"56",125460,7,"BIOMARIN PHARM","BIOMARIN PHARM",2849,0,2014-02-14,NA,NA,NA,NA,1991,0,0,1,"vimizim","elosulfase alfa"
"57",125469,7,"ELI LILLY AND CO","ELI LILLY",38680,0,2014-09-18,3,2,2014-12-19,"STANDARD",92,1,0,0,"trulicity","dulaglutide"
"58",125472,12,"GENENTECH","GENENTECH",14717,0,2013-10-21,21,14,2015-08-18,"N/A",666,1,0,0,"actemra","tocilizumab"
"59",125476,7,"TAKEDA PHARMS USA","TAKEDA PHARMS USA",27230,0,2014-05-20,3,22,2018-02-16,"STANDARD",1368,1,0,1,"entyvio","vedolizumab"
"60",125477,7,"ELI LILLY AND CO","ELI LILLY",38680,0,2014-04-21,2,2,2014-11-05,"STANDARD",198,1,0,1,"cyramza","ramucirumab"
"61",125486,7,"GENENTECH","GENENTECH",14717,0,2013-11-01,3,8,2014-06-27,"STANDARD",238,1,0,1,"gazyva","obinutuzumab"
"62",125496,7,"JANSSEN BIOTECH","JANSSEN",135100,0,2014-04-23,3,5,2017-03-24,"STANDARD",1066,1,0,1,"sylvant","siltuximab"
"63",125499,7,"BIOGEN IDEC INC","BIOGEN",7800,0,2014-08-15,3,9,2015-12-22,"STANDARD",494,1,0,0,"plegridy","peginterferon beta-1a"
"64",125504,7,"NOVARTIS PHARMS CORP","NOVARTIS",118393,0,2015-01-21,2,1,2016-01-15,"STANDARD",359,1,0,0,"cosentyx","secukinumab"
"65",125504,7,"NOVARTIS PHARMS CORP","NOVARTIS",118393,0,2015-01-21,2,2,2016-01-15,"",359,1,0,0,"cosentyx","secukinumab"
"66",125509,7,"ELUSYS THERAPEUTICS INC","ELUSYS THERAPEUTICS INC",10,1,2016-03-18,4,1,2016-10-20,"N/A",216,1,0,0,"anthim","obiltoxaximab"
"67",125511,7,"NPS PHARMS INC","NPS PHARMS INC",365,0,2015-01-23,3,4,2016-06-15,"STANDARD",509,1,0,0,"natpara","parathyroid hormone"
"68",125513,7,"ALEXION PHARM","ALEXION PHARM",2656,0,2015-10-23,3,2,2016-10-18,"STANDARD",361,1,0,1,"strensiq","asfotase alfa"
"69",125514,7,"MERCK SHARP DOHME","MERCK",69000,0,2014-09-04,3,3,2015-06-19,"STANDARD",288,1,0,1,"keytruda","pembrolizumab"
"70",125516,7,"UNITED THERAP","UNITED THERAP",860,0,2015-03-10,3,11,2017-03-01,"STANDARD",722,1,0,1,"unituxin","dinutuximab"
"71",125521,7,"ELI LILLY AND CO","ELI LILLY",38680,0,2016-03-22,3,3,2017-07-05,"STANDARD",470,1,0,0,"taltz","ixekizumab"
"72",125522,7,"AMGEN INC","AMGEN",19200,0,2015-08-27,2,1,2016-07-08,"STANDARD",316,1,0,0,"repatha","evolocumab"
"73",125522,7,"AMGEN INC","AMGEN",19200,0,2015-08-27,3,4,2016-07-08,"STANDARD",316,1,0,0,"repatha","evolocumab"
"74",125526,7,"GLAXOSMITHKLINE LLC","GLAXOSMITHKLINE",99827,0,2015-11-04,3,2,2017-02-16,"STANDARD",470,1,0,0,"nucala","mepolizumab"
"75",125527,25,"BRISTOL MYERS SQUIBB","BRISTOL-MYERS SQUIBB",23300,0,2015-03-04,NA,NA,NA,NA,1608,0,0,1,"opdivo","nivolumab"
"76",125544,9,"CELLTRION INC","CELLTRION",331,1,2016-04-05,3,8,2018-07-27,"STANDARD",843,1,0,0,"inflectra","infliximab-dyyb"
"77",125545,15,"HOSPIRA INC","HOSPIRA INC",19000,0,2018-05-15,3,3,2019-01-18,"STANDARD",248,1,0,0,"retacrit","epoetin alfa-epbx"
"78",125547,7,"ELI LILLY CO","ELI LILLY",38680,0,2015-11-24,NA,NA,NA,NA,1343,0,0,0,"portrazza","necitumumab"
"79",125553,7,"SANDOZ INC","SANDOZ INC",26500,0,2015-03-06,3,1,2016-03-03,"STANDARD",363,1,0,0,"zarxio","filgrastim-sndz"
"80",125554,7,"BRISTOL MYERS SQUIBB","BRISTOL-MYERS SQUIBB",23300,0,2014-12-22,2,2,2015-09-30,"PRIORITY",282,1,0,1,"opdivo","nivolumab"
"81",125557,7,"AMGEN","AMGEN",19200,0,2014-12-03,2,5,2016-08-30,"PRIORITY",636,1,0,1,"blincyto","blinatumomab"
"82",125557,7,"AMGEN","AMGEN",19200,0,2014-12-03,3,6,2016-08-30,"STANDARD",636,1,0,1,"blincyto","blinatumomab"
"83",125559,7,"SANOFI AVENTIS","SANOFI",106859,0,2015-07-24,2,1,2017-04-24,"STANDARD",640,1,0,0,"praluent","alirocumab"
"84",125561,7,"ALEXION PHARM","ALEXION PHARM",2656,0,2015-12-08,NA,NA,NA,NA,1329,0,0,1,"kanuma","sebelipase alfa"
"85",200063,14,"NALPROPION","PERNIX",41,1,2014-09-10,4,1,2015-03-16,"STANDARD",187,1,1,0,"contrave","bupropion hydrochloride; naltrexone hydrochloride"
"86",200153,11,"MERCK SHARP DOHME","MERCK",69000,0,2013-05-03,4,2,2014-02-13,"STANDARD",286,1,1,0,"liptruzet","atorvastatin calcium; ezetimibe"
"87",200656,9,"FRESENIUS KABI USA","FRESENIUS KABI USA",232873,1,2014-08-25,4,2,2016-04-11,"STANDARD",595,1,1,0,"perikabiven in plastic container","amino acids; calcium chloride; dextrose; magnesium sulfate; potassium chloride; sodium acetate; sodium glycerophosphate; soybean oil"
"88",200656,9,"FRESENIUS KABI USA","FRESENIUS KABI USA",232873,1,2014-08-25,4,2,2016-04-11,"STANDARD",595,1,1,0,"kabiven in plastic container","amino acids; calcium chloride; dextrose; magnesium sulfate; potassium chloride; sodium acetate; sodium glycerophosphate; soybean oil"
"89",200671,12,"ESPERO","ESPERO",0,1,2015-09-04,3,1,2015-09-15,"STANDARD",11,1,1,0,"durlaza","aspirin"
"90",200677,7,"NOVARTIS","NOVARTIS",118393,0,2012-12-14,3,1,2013-02-13,"STANDARD",61,1,1,0,"signifor","pasireotide diaspartate"
"91",200740,12,"LEADIANT BIOSCI INC","SIGMA-TAU PHARM",105,1,2012-10-02,NA,NA,NA,NA,2491,0,1,1,"cystaran","cysteamine hydrochloride"
"92",201194,17,"VISTAPHARM","VISTAPHARM",76,1,2012-01-12,4,1,2014-06-02,"STANDARD",872,1,1,0,"oxycodone hydrochloride","oxycodone hydrochloride"
"93",201281,14,"BOEHRINGER INGELHEIM","BOEHRINGER INGELHEIM",50000,1,2012-01-30,3,2,2012-09-25,"UNKNOWN",239,1,1,0,"jentadueto","linagliptin; metformin hydrochloride"
"94",201292,7,"BOEHRINGER INGELHEIM","BOEHRINGER INGELHEIM",50000,1,2013-07-12,3,1,2013-07-23,"STANDARD",11,1,1,1,"gilotrif","afatinib dimaleate"
"95",201635,12,"SUPERNUS PHARMS","SUPERNUS PHARMS",448,0,2013-08-16,4,1,2014-04-18,"STANDARD",245,1,1,0,"trokendi xr","topiramate"
"96",201635,12,"SUPERNUS PHARMS","SUPERNUS PHARMS",448,0,2013-08-16,4,4,2014-04-18,"STANDARD",245,1,1,0,"trokendi xr","topiramate"
"97",201656,15,"AVADEL SPECLT","AVADEL",180,1,2017-03-03,NA,NA,NA,NA,878,0,1,0,"noctiva","desmopressin acetate"
"98",201657,15,"HOSPIRA INC","HOSPIRA INC",19000,0,2014-10-21,4,1,2015-04-24,"STANDARD",185,1,1,0,"paricalcitol","paricalcitol"
"99",201688,12,"MYLAN SPECIALITY LP","MYLAN",35000,0,2013-03-22,4,1,2014-01-07,"STANDARD",291,1,1,0,"tobi podhaler","tobramycin"
"100",201739,15,"KALEO INC","KALEO INC",0,1,2012-08-10,4,2,2014-03-22,"STANDARD",589,1,1,0,"auvi-q","epinephrine"
"101",201803,9,"PFIZER CONS HLTHCARE","PFIZER",92400,0,2012-06-12,4,1,2013-08-15,"STANDARD",429,1,1,0,"advil","ibuprofen sodium"
"102",201811,15,"FRESENIUS KABI USA","FRESENIUS KABI USA",232873,1,2015-03-23,3,1,2015-12-11,"STANDARD",263,1,1,0,"argatroban","argatroban"
"103",201820,15,"CHIESI USA INC","CHIESI USA INC",5300,1,2012-10-12,4,1,2015-02-16,"STANDARD",857,1,1,0,"bethkis","tobramycin"
"104",201849,15,"FRESENIUS KABI USA","FRESENIUS KABI USA",232873,1,2015-05-08,4,1,2015-11-03,"STANDARD",179,1,1,0,"glucagon","glucagon hydrochloride"
"105",201849,15,"FRESENIUS KABI USA","FRESENIUS KABI USA",232873,1,2015-05-08,4,3,2015-11-03,"STANDARD",179,1,1,0,"glucagon","glucagon hydrochloride"
"106",201922,12,"SUN PHARM INDS LTD","SUN PHARMA GLOBAL",30000,0,2012-07-11,4,2,2015-08-13,"STANDARD",1128,1,1,0,"ximino","minocycline hydrochloride"
"107",201923,12,"ALIMERA SCIENCES INC","ALIMERA SCIENCES INC",125,0,2014-09-26,4,1,2015-05-18,"PRIORITY",234,1,1,1,"iluvien","fluocinolone acetonide"
"108",202008,7,"AVID RADIOPHARMS INC","ELI LILLY",38680,0,2012-04-06,4,6,2013-01-18,"PRIORITY",287,1,1,1,"amyvid","florbetapir f-18"
"109",202008,7,"AVID RADIOPHARMS INC","ELI LILLY",38680,0,2012-04-06,4,8,2013-01-18,"PRIORITY",287,1,1,1,"amyvid","florbetapir f-18"
"110",202020,12,"HORIZON PHARMA USA","HORIZON THERAPS INC",1000,1,2012-07-26,4,1,2013-03-13,"STANDARD",230,1,1,0,"rayos","prednisone"
"111",202057,15,"AMARIN PHARMS","AMARIN PHARMS",215,0,2012-07-26,4,1,2013-01-31,"STANDARD",189,1,1,0,"vascepa","icosapent ethyl"
"112",202088,2,"CITIUS PHARMS","CITIUS PHARMS",6,0,2012-03-27,3,2,2012-03-27,"STANDARD",0,1,1,0,"suprenza","phentermine hydrochloride"
"113",202091,15,"LUPIN LTD","LUPIN",239,0,2013-02-20,4,1,2014-01-16,"STANDARD",330,1,1,0,"suprax","cefixime"
"114",202100,12,"NEXTWAVE PHARMS","NEXTWAVE PHARMS",10,1,2012-09-27,4,1,2013-05-15,"STANDARD",230,1,1,0,"quillivant xr","methylphenidate hydrochloride"
"115",202106,14,"B BRAUN MEDICAL INC","B BRAUN MEDICAL INC",61518,1,2015-04-30,4,1,2015-12-15,"STANDARD",229,1,1,0,"meropenem and sodium chloride in duplex container","meropenem"
"116",202107,15,"CORCEPT THERAP","CORCEPT THERAP",103,0,2012-02-17,4,2,2013-10-03,"STANDARD",594,1,1,0,"korlym","mifepristone"
"117",202129,12,"ASTRAZENECA PHARMS","ASTRAZENECA",59700,0,2012-01-20,4,1,2012-12-20,"STANDARD",335,1,1,0,"zetonna","ciclesonide"
"118",202153,15,"JUBILANT DRAXIMAGE","JUBILANT DRAXIMAGE",7600,0,2016-09-30,NA,NA,NA,NA,1032,0,1,0,"ruby-fill","rubidium chloride rb-82"
"119",202155,7,"BRISTOL MYERS SQUIBB","BRISTOL-MYERS SQUIBB",23300,0,2012-12-28,4,1,2013-07-16,"PRIORITY",200,1,1,1,"eliquis","apixaban"
"120",202158,15,"NORTHSTAR MEDICAL","NORTHSTAR MEDICAL",90,1,2018-02-08,3,2,2018-03-09,"STANDARD",29,1,1,0,"radiogenix system","technetium tc-99m sodium pertechnetate generator"
"121",202172,9,"WATSON LABS INC","TEVA",42535,0,2016-02-12,NA,NA,NA,NA,1263,0,1,0,"rosuvastatin zinc","rosuvastatin zinc"
"122",202207,7,"CARDINAL HEALTH 414","CARDINAL HEALTH",32300,0,2013-03-13,2,1,2014-06-13,"PRIORITY",457,1,1,0,"lymphoseek kit","technetium tc-99m tilmanocept"
"123",202211,18,"ALLERGAN SALES LLC","ALLERGAN",16900,0,2013-01-25,4,2,2013-08-16,"STANDARD",203,1,1,0,"oxytrol for women","oxybutynin"
"124",202212,15,"CIPLA LIMITED","CIPLA",12235,0,2012-04-30,NA,NA,NA,NA,2646,0,1,0,"nevirapine","nevirapine"
"125",202236,14,"MYLAN SPECIALITY LP","MYLAN",35000,0,2012-05-01,3,1,2012-08-10,"STANDARD",101,1,1,0,"dymista","azelastine hydrochloride; fluticasone propionate"
"126",202270,12,"MERCK SHARP DOHME","MERCK",69000,0,2012-02-02,3,2,2012-10-18,"UNKNOWN",259,1,1,0,"janumet xr","metformin hydrochloride; sitagliptin phosphate"
"127",202276,7,"METUCHEN PHARMS","METUCHEN PHARMS",18,1,2012-04-27,3,1,2012-10-31,"STANDARD",187,1,1,0,"stendra","avanafil"
"128",202278,12,"TEVA BRANDED PHARM","TEVA",42535,0,2013-01-17,4,4,2014-01-17,"STANDARD",365,1,1,0,"zecuity","sumatriptan succinate"
"129",202292,7,"NAPO PHARMS INC","NAPO PHARMS INC",69,0,2012-12-31,4,1,2013-11-06,"PRIORITY",310,1,1,1,"mytesi","crofelemer"
"130",202293,7,"ASTRAZENECA AB","ASTRAZENECA",59700,0,2014-01-08,4,1,2014-07-31,"STANDARD",204,1,1,0,"farxiga","dapagliflozin"
"131",202317,15,"HELSINN","HELSINN HLTHCARE",289,1,2013-08-23,4,2,2014-07-08,"STANDARD",319,1,1,0,"valchlor","mechlorethamine hydrochloride"
"132",202324,7,"PF PRISM CV","PFIZER",92400,0,2012-01-27,3,1,2013-09-16,"STANDARD",598,1,1,0,"inlyta","axitinib"
"133",202342,9,"R2 PHARMA LLC","R2 PHARMA LLC",0,1,2013-08-06,3,2,2014-12-19,"901 REQUIRED",500,1,1,0,"esomeprazole strontium","esomeprazole strontium"
"134",202344,12,"MISSION PHARMA","MISSION PHARMA",193,1,2012-03-12,4,4,2013-04-17,"STANDARD",401,1,1,0,"binosto","alendronate sodium"
"135",202356,15,"PFIZER LABS","PFIZER",92400,0,2014-03-13,4,1,2014-12-02,"STANDARD",264,1,1,0,"docetaxel","docetaxel"
"136",202381,15,"MYLAN LABS","MYLAN",35000,0,2012-01-31,NA,NA,NA,NA,2736,0,1,0,"abacavir sulfate; lamivudine","abacavir sulfate; lamivudine"
"137",202428,12,"MAYNE PHARMA","MAYNE PHARMA",160,0,2012-05-11,NA,NA,NA,NA,2635,0,1,0,"fabior","tazarotene"
"138",202450,7,"ASTRAZENECA PHARMS","ASTRAZENECA",59700,0,2012-07-23,4,1,2013-05-03,"STANDARD",284,1,1,0,"tudorza pressair","aclidinium bromide"
"139",202497,15,"TALON THERAP","SPECTRUM PHARMS",235,0,2012-08-09,4,1,2014-07-07,"STANDARD",697,1,1,0,"marqibo kit","vincristine sulfate"
"140",202514,7,"OAK PHARMS INC","AKORN PHARMA",2261,0,2012-02-10,3,1,2013-02-22,"STANDARD",378,1,1,0,"zioptan","tafluprost"
"141",202529,15,"RANBAXY LABS LTD","RANBAXY LABS LTD",15300,0,2013-05-17,NA,NA,NA,NA,2264,0,1,0,"lamivudine; tenofovir disoproxil fumarate","lamivudine; tenofovir disoproxil fumarate"
"142",202535,7,"FERRING PHARMS INC","FERRING PHARMS INC",6500,0,2012-07-16,4,1,2013-05-13,"STANDARD",301,1,1,0,"prepopik","citric acid; magnesium oxide; sodium picosulfate"
"143",202589,15,"MACLEODS PHARMS LTD","MACLEODS PHARMS LTD",10,1,2012-02-08,NA,NA,NA,NA,2728,0,1,0,"lamivudine; nevirapine; zidovudine","lamivudine; nevirapine; zidovudine"
"144",202611,7,"APGDI","ASTELLAS",17202,0,2012-06-28,4,1,2013-03-04,"STANDARD",249,1,1,0,"myrbetriq","mirabegron"
"145",202667,15,"OAK PHARMS INC","AKORN PHARMA",2261,0,2012-02-01,NA,NA,NA,NA,2735,0,1,0,"cosopt pf","dorzolamide hydrochloride; timolol maleate"
"146",202685,13,"STRIDES ARCOLAB LTD","STRIDES ARCOLAB LTD",0,1,2012-09-21,NA,NA,NA,NA,2502,0,1,0,"lamivudine; nevirapine; zidovudine","lamivudine; nevirapine; zidovudine"
"147",202714,7,"ONYX THERAP","AMGEN",19200,0,2012-07-20,4,1,2013-02-21,"STANDARD",216,1,1,0,"kyprolis","carfilzomib"
"148",202736,12,"ARBOR PHARMS LLC","ARBOR PHARMS LLC",550,1,2012-02-07,3,3,2017-06-16,"STANDARD",1956,1,1,0,"sklice","ivermectin"
"149",202763,12,"ANI PHARMS INC","ANI PHARMS INC",299,0,2012-02-14,3,2,2014-06-19,"STANDARD",856,1,1,0,"testosterone","testosterone"
"150",202788,12,"INSYS DEV CO INC","INSYS DEV CO INC",423,0,2012-01-04,3,1,2012-06-05,"STANDARD",153,1,1,0,"subsys","fentanyl"
"151",202788,12,"INSYS DEV CO INC","INSYS DEV CO INC",423,0,2012-01-04,21,3,2012-06-05,"N/A",153,1,1,0,"subsys","fentanyl"
"152",202799,7,"TAKEDA PHARMS USA","TAKEDA PHARMS USA",27230,0,2012-03-27,3,1,2012-12-04,"STANDARD",252,1,1,0,"omontys preservative free","peginesatide acetate"
"153",202799,7,"TAKEDA PHARMS USA","TAKEDA PHARMS USA",27230,0,2012-03-27,3,1,2012-12-04,"STANDARD",252,1,1,0,"omontys","peginesatide acetate"
"154",202806,7,"NOVARTIS PHARMS CORP","NOVARTIS",118393,0,2013-05-29,3,1,2013-12-26,"STANDARD",211,1,1,0,"tafinlar","dabrafenib mesylate"
"155",202810,12,"SUPERNUS PHARMS","SUPERNUS PHARMS",448,0,2012-10-19,4,1,2013-06-14,"STANDARD",238,1,1,0,"oxtellar xr","oxcarbazepine"
"156",202811,7,"ALLERGAN SALES LLC","ALLERGAN",16900,0,2012-08-30,3,3,2013-08-08,"STANDARD",343,1,1,0,"linzess","linaclotide"
