DrugID,IndicationID,DrugIndicationID,LeadCompanyID,Drug_Name,Generic_Name,Lead_Company,Ticker,State,Country,Continent,Market_Cap,Disease_Group,Sub_Disease_Group,Indication_Name,Lead_Indication,Current_Phase,Event_Phase,Likelihood_of_Approval,Molecule,Target,Drug_Classification,Imaging_Agent,Route_of_Administration,Fast_Track,SPA,Orphan,Breakthrough,RMAT,QIDP,Est_US_Approval_Date,Est_EU_Approval_Date,Est_Japan_Approval_Date,Actual_US_Approval_Date,Actual_EU_Approval_Date,Actual_Japan_Approval_Date,Future_PDUFA_Date,Future_NDA_BLA_Date,NDA_BLA_Date,Phase_III_Date,Phase_II_Date,Phase_I_Date,IND_Date,Phase_III_Event_Date,Phase_II_Event_Date,Phase_I_Event_Date,Lead_Company_Revenue_Pct_US,Peak_US_Revenue,US_2016,US_2017,US_2018,US_2019_YTD,WW_2016,WW_2017,WW_2018,WW_2019_YTD,Last_Quarter_Reported,Partner
3282,3125,5665,3380,Abstral,fentanyl citrate,Zydus Cadila,CDH:IN,,India,Asia,,Neurology,Pain,Cancer Pain,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Opioid receptors,Non-NME,No,Sublingual (SL)/Oral Transmucosal,N,N,N,N,N,N,,,,01/07/11,03/07/08,09/20/13,,,08/06/09,,,,,12/07/05,02/14/03,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,$   118.1,$    53.6,Q2 2019,"Endo International plc, Gedeon Richter Plc, Hisamitsu Pharmaceutical Co., Inc., Kyowa Hakko Kirin Co., Ltd., NewBridge Pharmaceuticals, Orexo AB"
528,428,706,1298,ABthrax,raxibacumab,"Emergent BioSolutions, Inc.",EBS,Maryland,United States,North America,2223242243,Infectious disease,"Antibacterial, Mycobacterial, or Fungal",Anthrax Infection (Antibacterial),Y,Approved,Approved,100% (Same As Avg.),Monoclonal Antibody,Anthrax protective antigen^ Bacillus anthracis (Anthrax),Biologic,No,"Intramuscular (IM), Intravenous (IV)",Y,N,Y,,N,N,,,,12/14/12,,,,,05/14/09,,,,,03/13/08,,11/12/03,N/A,,N/A,N/A,N/A,$     0.0,N/A,N/A,N/A,$     0.0,N/A,AstraZeneca PLC
769,660,899,1298,ACAM2000,,"Emergent BioSolutions, Inc.",EBS,Maryland,United States,North America,2223242243,Infectious disease,Antiviral,Smallpox,Y,Approved,Approved,100% (Same As Avg.),Vaccine,Immune system^ Smallpox virus,Vaccine,No,Percutaneous Catheter/Injection,Y,N,N,,N,N,,,,08/31/07,,,,,01/18/06,12/15/03,,,,12/15/03,03/11/03,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,$    21.8,$    52.1,Q2 2019,N/A
24966,603,34704,470,Acanya Gel,clindamycin and benzoyl peroxide,Bausch Health Companies Inc.,BHC,Quebec,Canada,North America,7936757676,Dermatology,General,Acne,Y,Approved (Generic Competition),Approved,100% (Same As Avg.),Small Molecule,Bacteria-miscellaneous^ Bacterial ribosome^ Protein synthesis,Non-NME,No,Topical,N,N,N,N,N,N,,,,10/21/08,,,,,12/26/07,,,,,,,,N/A,,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,N/A,N/A
3214,306,5501,1298,Accretropin,somatropin,"Emergent BioSolutions, Inc.",EBS,Maryland,United States,North America,2223242243,Endocrine,Short Stature,Turner Syndrome,Y,Approved,Approved,100% (Same As Avg.),Protein,Growth hormone receptor (GHR),Biologic,No,Subcutaneous (SQ),N,N,N,,N,N,,,,01/23/08,,,,,05/10/06,,,,,,,,N/A,,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,N/A,Teva Pharmaceutical Industries Ltd.
3214,285,5502,1298,Accretropin,somatropin,"Emergent BioSolutions, Inc.",EBS,Maryland,United States,North America,2223242243,Endocrine,Short Stature,Short Stature / Growth Hormone Deficiency,Y,Approved,Approved,100% (Same As Avg.),Protein,Growth hormone receptor (GHR),Biologic,No,Subcutaneous (SQ),N,N,N,,N,N,,,,01/23/08,,,,,05/10/06,,,,,,,,N/A,,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,N/A,Teva Pharmaceutical Industries Ltd.
2006,267,3310,4326,Aceon,perindopril erbumine,Symplmed Pharmaceuticals LLC,,Ohio,United States,North America,,Cardiovascular,Coronary Artery Disease (General),Coronary Artery Disease,N,Approved (Generic Competition),Approved,100% (Same As Avg.),Small Molecule,Angiotensin Converting Enzyme (ACE),New Molecular Entity (NME),No,Oral (PO),N,N,N,,N,N,,,,08/23/05,,,,,12/13/04,,,,,09/06/03,,,100%,,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,N/A,"AbbVie Inc., XOMA Corporation"
19522,726,25752,3014,Acetadote,acetylcysteine,Cumberland Pharmaceuticals Inc.,CPIX,Tennessee,United States,North America,89128556,Not Specified,Other,Drug Toxicity,Y,Approved (Generic Competition),Approved,100% (Same As Avg.),Small Molecule,Glutathione (GSH) synthesis^ Reactive Oxygen Species/Free Radicals,Non-NME,No,Intravenous (IV),N,N,N,,N,N,,,,01/23/04,,,,,,,,,,,,,N/A,,$     7.2,$     6.6,$     4.2,$     0.9,$     7.2,$     6.6,$     4.2,$     0.9,Q1 2019,"Harbin Gloria Pharmaceuticals Co., Ltd., Winhealth Pharma Group"
40269,644,56350,3650,AcipHex Sprinkle,rabeprazole sodium delayed-release,Cerecor Inc.,CERC,Maryland,United States,North America,136700277,Gastroenterology (non inflammatory bowel disease),General,Gastroesophageal Reflux Disease (GERD),Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Proton pump,Non-NME,No,Oral (PO),N,N,N,N,N,N,,,,03/26/13,,,,,09/27/12,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"EA Pharma Co., Ltd."
2424,154,4101,149,Actemra,tocilizumab,Roche Holding AG,RHHBY,,Switzerland,Europe,,Autoimmune/immunology,Arthritis,Rheumatoid Arthritis (RA),Y,Approved,Approved,100% (Same As Avg.),Monoclonal Antibody,IL-6 Receptor (IL-6R),Biologic,No,Intravenous (IV),N,N,N,N,N,N,,,,01/08/10,01/15/09,04/16/08,,,11/19/07,,,,,11/14/05,,,97%,761.2,$   660.8,$   771.6,$   870.3,$   460.1,"$  1,733.1","$  1,966.3","$  2,193.3","$  1,135.1",Q2 2019,"Chugai Pharmaceutical Co., Ltd., Cipla Limited, PDL BioPharma, Inc."
2424,365,13909,149,Actemra,tocilizumab,Roche Holding AG,RHHBY,,Switzerland,Europe,,Autoimmune/immunology,Arthritis,Juvenile Rheumatoid Arthritis,N,Approved,Approved,100% (Same As Avg.),Monoclonal Antibody,IL-6 Receptor (IL-6R),Biologic,No,Intravenous (IV),N,N,Y,,N,N,,,,04/15/11,08/03/11,04/16/08,,,10/18/10,,,,,04/28/06,,,97%,,$   660.8,$   771.6,$   870.3,$   460.1,"$  1,733.1","$  1,966.3","$  2,193.3","$  1,135.1",Q2 2019,"Chugai Pharmaceutical Co., Ltd., Cipla Limited, PDL BioPharma, Inc."
2424,726,49926,149,Actemra,tocilizumab,Roche Holding AG,RHHBY,,Switzerland,Europe,,Not Specified,Other,Drug Toxicity,N,Approved,Approved,100% (Same As Avg.),Monoclonal Antibody,IL-6 Receptor (IL-6R),Biologic,No,Intravenous (IV),N,N,Y,N,N,N,,,,08/30/17,08/23/18,03/26/19,,,06/01/17,,,,,,,,97%,,$   660.8,$   771.6,$   870.3,$   460.1,"$  1,733.1","$  1,966.3","$  2,193.3","$  1,135.1",Q2 2019,"Chugai Pharmaceutical Co., Ltd., Cipla Limited, PDL BioPharma, Inc."
15790,154,20169,149,Actemra (Subcutaneous),tocilizumab,Roche Holding AG,RHHBY,,Switzerland,Europe,,Autoimmune/immunology,Arthritis,Rheumatoid Arthritis (RA),Y,Approved,Approved,100% (Same As Avg.),Monoclonal Antibody,IL-6 Receptor (IL-6R),Biologic,No,Subcutaneous (SQ),N,N,N,N,N,N,,,,10/02/13,04/28/14,03/25/13,,,12/21/12,09/23/10,,01/15/09,,09/23/10,02/03/10,01/15/09,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Chugai Pharmaceutical Co., Ltd., Cipla Limited, PDL BioPharma, Inc."
15790,3356,30840,149,Actemra (Subcutaneous),tocilizumab,Roche Holding AG,RHHBY,,Switzerland,Europe,,Autoimmune/immunology,Vasculitis,Giant Cell Arteritis,N,Approved,Approved,100% (Same As Avg.),Monoclonal Antibody,IL-6 Receptor (IL-6R),Biologic,No,Subcutaneous (SQ),N,N,N,Y,N,N,,,,05/22/17,09/22/17,08/25/17,,,11/22/16,07/25/13,,,,07/25/13,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Chugai Pharmaceutical Co., Ltd., Cipla Limited, PDL BioPharma, Inc."
15790,365,53075,149,Actemra (Subcutaneous),tocilizumab,Roche Holding AG,RHHBY,,Switzerland,Europe,,Autoimmune/immunology,Arthritis,Juvenile Rheumatoid Arthritis,N,Approved,Approved,100% (Same As Avg.),Monoclonal Antibody,IL-6 Receptor (IL-6R),Biologic,No,Subcutaneous (SQ),N,N,N,N,N,N,,,,05/11/18,10/29/18,,,,11/14/17,,,07/13/13,,,,07/13/13,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Chugai Pharmaceutical Co., Ltd., Cipla Limited, PDL BioPharma, Inc."
32276,3121,44579,774,Acticlate,doxycycline hyclate USP,"Almirall Prodesfarma, S.A.",ALM:SM,,Spain,Europe,,Infectious disease,"Antibacterial, Mycobacterial, or Fungal",Antibacterial - General,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Bacterial ribosome^ Protein synthesis,Non-NME,No,Oral (PO),N,N,N,N,N,N,,,,07/25/14,,,,,09/25/13,,,,,,,,N/A,,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,N/A,N/A
32276,467,44626,774,Acticlate,doxycycline hyclate USP,"Almirall Prodesfarma, S.A.",ALM:SM,,Spain,Europe,,Infectious disease,"Other (I.E. Antiparasitic, Etc.)",Malaria,N,Approved,Approved,100% (Same As Avg.),Small Molecule,Bacterial ribosome^ Protein synthesis,Non-NME,No,Oral (PO),N,N,N,N,N,N,,,,07/25/14,,,,,09/25/13,,,,,,,,N/A,,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,N/A,N/A
32276,603,44627,774,Acticlate,doxycycline hyclate USP,"Almirall Prodesfarma, S.A.",ALM:SM,,Spain,Europe,,Dermatology,General,Acne,N,Approved (Generic Competition),Approved,100% (Same As Avg.),Small Molecule,Bacterial ribosome^ Protein synthesis,Non-NME,No,Oral (PO),N,N,N,N,N,N,,,,07/25/14,,,,,09/25/13,,,,,,,,N/A,,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,N/A,N/A
72,540,779,2878,Actimmune,interferon gamma-1b,Horizon Pharma plc,HZNP,,Ireland,Europe,4452144302,Endocrine,Osteoporosis And Related Disorders Of Bone Breakdown,Osteopetrosis,N,Approved,Approved,100% (Same As Avg.),Protein,Immune system,Biologic,No,"Intramuscular (IM), Intravenous (IV), Subcutaneous (SQ)",N,N,Y,,N,N,,,,02/10/00,,,,,,,,,,,,,98.75%,,N/A,N/A,$   105.6,$    21.7,N/A,N/A,$   105.6,$    21.7,Q1 2019,"Boehringer Ingelheim GmbH, Clinigen Group plc, GlaxoSmithKline plc, Roche Holding AG"
1750,242,2790,395,Actonel,risedronate sodium hydrate,Allergan plc,AGN,,Ireland,Europe,53945515162,Endocrine,Osteoporosis And Related Disorders Of Bone Breakdown,Osteoporosis / Osteopenia,N,Approved (Generic Competition),Approved,100% (Same As Avg.),Small Molecule,Osteoclast,New Molecular Entity (NME),No,Oral (PO),N,N,N,N,N,N,,,,04/14/00,04/01/00,01/01/02,,,,,,,,,,,80%,,N/A,N/A,N/A,N/A,$    72.9,$    67.5,N/A,N/A,Q4 2017,"Ajinomoto Bio-Pharma Services, Eisai Co., Ltd., Sanofi, Takeda Pharmaceutical Company Ltd"
9784,137,12181,826,Actoplus Met,metformin and pioglitazone,Takeda Pharmaceutical Company Ltd,TAK,,Japan,Asia,,Endocrine,Diabetes Mellitus,"Diabetes Mellitus, Type II",Y,Approved (Generic Competition),Approved,100% (Same As Avg.),Small Molecule,PPAR gamma,Non-NME,No,Oral (PO),N,N,N,,N,N,,,,08/29/05,07/28/06,04/16/10,,,10/29/04,,,,,,,,N/A,,N/A,N/A,N/A,$     0.0,N/A,N/A,N/A,$     0.0,N/A,N/A
2615,137,4458,826,ACTOplus met XR,metformin and pioglitazone (extended release),Takeda Pharmaceutical Company Ltd,TAK,,Japan,Asia,,Endocrine,Diabetes Mellitus,"Diabetes Mellitus, Type II",Y,Approved,Approved,100% (Same As Avg.),Small Molecule,PPAR gamma,Non-NME,No,Oral (PO),N,N,N,,N,N,,,,05/13/09,,,,,04/03/06,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Allergan plc
1295,603,1653,774,Aczone,dapsone,"Almirall Prodesfarma, S.A.",ALM:SM,,Spain,Europe,,Dermatology,General,Acne,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Dihydropteroate Synthetase (DHPS),Non-NME,No,Topical,N,N,N,N,N,N,,,,07/07/05,,,,,08/31/04,10/15/01,,05/07/01,,03/28/02,,,100%,,$   217.3,$   166.3,$    55.1,$    46.3,$   217.3,$   166.8,$    55.5,$    46.3,Q2 2019,N/A
23601,603,32451,774,Aczone X,dapsone,"Almirall Prodesfarma, S.A.",ALM:SM,,Spain,Europe,,Dermatology,General,Acne,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Dihydropteroate Synthetase (DHPS),Non-NME,No,Topical,N,N,N,N,N,N,,,,02/24/16,,,,,04/28/15,12/20/13,,,,12/20/13,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2111,3197,3492,51,Adacel,Tdap vaccine,Sanofi,SNY,,France,Europe,1.05588E+11,Infectious disease,"Antibacterial, Mycobacterial, or Fungal","Diphtheria, pertussis, and tetanus (DT, Td, DTaP and Tdap) Vaccines",Y,Approved,Approved,100% (Same As Avg.),Vaccine,Bordetella pertussis^ Clostridium tetani^ Corynebacterium diptheriae^ Immune system,Vaccine,No,Intramuscular (IM),N,N,N,,N,N,,,,06/10/05,,,,,08/11/04,,,,,,,,100%,,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,$     0.0,Q4 2013,N/A
2896,170,4938,610,Adasuve,loxapine,"Grupo Ferrer Internacional, S.A.",,,Spain,Europe,,Psychiatry,Psychosis/Schizophrenia,Schizophrenia,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Alpha 1 Adrenergic Receptor^ Dopamine 2 (D2) Receptor^ Histamine H1 Receptor (HRH1)^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,Non-NME,No,Inhaled,N,N,N,N,N,N,,,,12/21/12,02/20/13,,,,12/11/09,02/25/08,,,08/31/05,09/18/07,09/22/06,,100%,11.1,N/A,N/A,N/A,$     0.0,N/A,N/A,N/A,$     0.0,N/A,"AOP Orphan Pharmaceuticals AG, Medivir AB"
2896,168,10559,610,Adasuve,loxapine,"Grupo Ferrer Internacional, S.A.",,,Spain,Europe,,Psychiatry,Bipolar,Bipolar Disorder,Y,Approved,Approved,100% (Same As Avg.),Small Molecule,Alpha 1 Adrenergic Receptor^ Dopamine 2 (D2) Receptor^ Histamine H1 Receptor (HRH1)^ Serotonin 5-HT2A receptor^ Serotonin 5-HT2C receptor,Non-NME,No,Inhaled,N,N,N,N,N,N,,,,12/21/12,02/20/13,,,,12/11/09,07/24/08,,,08/31/05,07/24/08,09/18/07,,100%,12.2,N/A,N/A,N/A,$     0.0,N/A,N/A,N/A,$     0.0,N/A,"AOP Orphan Pharmaceuticals AG, Medivir AB"
