"Company ID","Company Name","Company Type (Public/Private)","Country","Market Cap","Currency","EBITDA Qtr","EBITDA Ann","EBITDA TTM","Total Revenue Qtr","Total Revenue Ann","Total Revenue TTM",
"5267","Aequus Pharmaceuticals, Inc.","Public","Canada","","","","","","","","",
"3715","Aeras","Private","United States","","","","","","","","",
"3915","Aerial BioPharma, LLC","Private","United States","","","","","","","","",
"3218","Aerie Pharmaceuticals, Inc.","Public","United States","1064523663","USD","-60056000","-143968000","-215041000","7302000","0","0",
"5959","Aerogen Inc.","Private","Ireland","","","","","","","","",
"8507","Aeromics, Inc. ","Private","United States","","","","","","","","",
"978","Aerovance, Inc.","Private","United States","","","","","","","","",
"3536","Aerpio Therapeutics, Inc.","Public","United States","","","","","","","","",
"3501","Aestus Therapeutics, Inc.","Private","United States","","","","","","","","",
"14","Aeterna Zentaris, Inc.","Public","Canada","34196780","USD","0","-23438000","","0","923000","",
"3685","Aevi Genomic Medicine, Inc.","Public","United States","11658038","USD","-7282000","-34588000","-31380000","0","0","0",
"9065","AffaMed Therapeutics","Private","","","","","","","","","",
"3480","Affectis Pharmaceuticals AG","Private","Germany","","","","","","","","",
"475","Afferon Corporation","Public","United States","","","","","","","","",
"5317","Affibody AB","Private","Sweden","","","","","","","","",
"6165","Affilogic","Private","France","","","","","","","","",
"3954","Affimed N.V.","Public","Germany","125400823","EUR","0","-32313000","","0","2414000","",
"5296","Affinivax Inc.","Private","United States","","","","","","","","",
"2320","AFFiRiS GmbH","Private","Austria","","","","","","","","",
"1017","Affitech A/S","Public","Denmark","","","","","","","","",
"990","Affymax, Inc.","Public","United States","674821","USD","-953000","-14323000","-4951000","42000","1369000","42000",
"8139","Afimmune Limited","Private","Ireland","","","","","","","","",
"4092","Afraxis, Inc.","Private","United States","","","","","","","","",
"8554","AFYX Therapeutics","Private","Denmark","","","","","","","","",
"5179","AgeneBio, Inc.","Private","United States","","","","","","","","",
"2617","Agennix AG","Public","Germany","","","","","","","","",
"36","Agenus Inc.","Public","United States","334752472","USD","-24439876","-97795097","-108198492","12802427","42877086","38687364",
"9186","AgeX Therapeutics, Inc. ","Public","United States","","","","","","","","",
"2864","Agile Therapeutics, Inc.","Public","United States","36783742","USD","-3609000","-26788000","-21771000","0","0","0",
"4112","Agios Pharmaceuticals, Inc.","Public","United States","2312602371","USD","-98614000","-314362000","-351903000","15198000","43011000","74173000",
"5653","AGIRx Ltd.","Private","United Kingdom","","","","","","","","",
"3992","AgonOx, LLC","Private","United States","","","","","","","","",
"4298","AGY Therapeutics, Inc.","Private","United States","","","","","","","","",
"8398","AI Therapeutics, Inc.","Private","United States","","","","","","","","",
"3406","AiCuris GmbH & Co. KG","Private","Germany","","","","","","","","",
"4074","Aileron Therapeutics, Inc","Public","United States","","","","","","","","",
"4612","AIMM Therapeutics B.V.","Private","Netherlands","","","","","","","","",
"5332","Aimmune Therapeutics, Inc.","Public","United States","1137026506","USD","-52897000","-131797000","-197659000","0","0","0",
"4184","Airmid Inc.","Private","United States","","","","","","","","",
"4616","Airway Therapeutics, LLC","Private","United States","","","","","","","","",
"6226","AIVITA Biomedical, Inc. ","Private","United States","","","","","","","","",
"951","Ajinomoto Bio-Pharma Services","Public","Japan","","","","","","","","",
"5330","AJU Pharm Korea","Private","Korea (South)","","","","","","","","",
"4271","Akari Therapeutics, Plc","Public","United States","26394495","USD","0","-37741789","","0","0","",
"4188","Akashi Therapeutics, Inc.","Private","United States","","","","","","","","",
"7298","Akcea Therapeutics, Inc.","Public","United States","1895732198","USD","-64219000","-107935000","-166883000","19241000","55209000","88167000",
"2866","Akebia Therapeutics, Inc.","Public","United States","231089205","USD","-28003000","-78690000","-76432000","53169000","177984000","235208000",
"1231","AKELA Pharma Inc.","Public","United States","","","","","","","","",
"3595","Aker ASA","Public","Norway","","","","","","","","",
"8476","Akero Therapeutics, Inc.","Public","United States","","","","","","","","",
"7758","Akeso Biopharma, Inc.","Private","China","","","","","","","","",
"3665","Akinion Pharmaceuticals AB ","Private","Sweden","","","","","","","","",
"9164","AKL Research & Development Ltd.","Private","United Kingdom","","","","","","","","",
"583","Akorn Inc.","Public","United States","338829407","USD","-54014000","72733000","-221236000","165625000","841045000","726689000",
"8013","Akouos","Private","United States","","","","","","","","",
"3631","Akrimax Pharmaceuticals, LLC","Private","United States","","","","","","","","",
"4543","Akron Molecules AG","Private","Austria","","","","","","","","",
"2963","Alavita Pharmaceuticals, Inc.","Private","United States","","","","","","","","",
"2052","Alba Therapeutics Corporation","Private","United States","","","","","","","","",
"5682","AlbaJuna Therapeutics","Private","Spain","","","","","","","","",
"2944","Albireo Pharma, Inc.","Public","United States","284884286","USD","-12654000","-24542000","-28944000","237000","1000","12168000",
"8567","Albumedix Ltd.","Private","United Kingdom","","","","","","","","",
"695","Alchemgen Therapeutics, Inc.","Private","United States","","","","","","","","",
"3416","Alchemia Limited","Public","Australia","","","","","","","","",
"4817","Aldea Pharmaceuticals","Private","United States","","","","","","","","",
"2657","Alder Biopharmaceuticals, Inc.","Public","United States","604007258","USD","-57941000","-288003000","-261338000","0","1619000","936000",
"4600","Aldeyra Therapeutics, Inc.","Public","United States","123611284","USD","-11014144","-22300953","-35697578","0","0","0",
"8697","Alector, Inc.","Public","United States","","","","","","","","",
"4146","Alembic Pharmaceuticals Limited","Public","India","","","","","","","","",
"4462","Alethia BioTherapeutics Inc.","Private","Canada","","","","","","","","",
"21","Alexion Pharmaceuticals, Inc.","Public","United States","25729734568","USD","463500000","1124100000","826500000","1026500000","3551100000","3912100000",
"357","Alfasigma S.p.A.","Private","Italy","","","","","","","","",
"2038","Alfresa Pharma Corporation","Public","Japan","","","","","","","","",
"6777","Algernon Pharmaceuticals Inc.","Public","Canada","","","","","","","","",
"5640","Algiax Pharmaceuticals GmbH","Private","Germany","","","","","","","","",
"4529","AlgiPharma AS","Private","Norway","","","","","","","","",
"4475","Algorithm S.A.L.","Private","Lebanon","","","","","","","","",
"2750","Alimera Sciences, Inc.","Public","United States","32937072","USD","-1343000","-12352000","-11875000","11137000","35912000","40998000",
"6277","Alissa Pharma, LLC","Private","United States","","","","","","","","",
"4572","Alitair Pharmaceuticals, Inc.","Private","United States","","","","","","","","",
"8890","AliveGen USA Inc.","Private","United States","","","","","","","","",
"9048","Alivio Therapeutics","Private","United States","","","","","","","","",
"9118","Alizé Pharma 3","Private","France","","","","","","","","",
"466","Alizyme plc","Public","United Kingdom","","","","","","","","",
"994","ALK-Abello A/S","Public","Denmark","","","","","","","","",
"7973","Alkahest, Inc.","Private","United States","","","","","","","","",
"22","Alkermes plc","Public","Ireland","3118532535","USD","-10891000","-49377000","9663000","248720000","903374000","1053882000",
"4007","Alkeus Pharmaceuticals, Inc.","Private","United States","","","","","","","","",
"6694","Allakos Inc.","Public","United States","3644885256","","","","","","","",
"7833","Allecra Therapeutics GmbH","Private","Germany","","","","","","","","",
"7323","Allegis Holdings, LLC","Private","United States","","","","","","","","",
"3683","Allegro Ophthalmics, LLC.","Private","United States","","","","","","","","",
"4584","Allena Pharmaceuticals, Inc.","Public","United States","83667833","USD","-9688000","-20844000","-32320000","0","0","0",
"395","Allergan plc","Public","Ireland","53614974929","USD","1896000000","1606900000","6180500000","3911400000","15940700000","16033800000",
"2099","Allergy Therapeutics plc","Public","United Kingdom","","","","","","","","",
"4450","Alliance Pharma plc","Public","United Kingdom","","USD","-133000","-652000","-514000","0","79000","0",
"4709","Alliancells Bioscience","Private","China","","","","","","","","",
"6613","Allied Minds plc","Public","United States","","","","","","","","",
"4384","Alligator Bioscience AB","Public","Sweden","","","","","","","","",
"4185","Allinky Biopharma","Private","Spain","","","","","","","","",
"3689","Allist Pharmaceuticals, Inc.","Private","China","","","","","","","","",
"3644","AlloCure, Inc.","Private","United States","","","","","","","","",
"7171","Allodynic Therapeutics, LLC","Private","United States","","","","","","","","",
"8316","Allogene Therapeutics, Inc.","Public","United States","","","","","","","","",
"4307","Alloksys Life Sciences BV","Private","Netherlands","","","","","","","","",
"3498","Allostera Pharma, Inc.","Private","Canada","","","","","","","","",
"7732","Allovir, Inc.","Private","United States","","","","","","","","",
"2990","Allozyne Inc.","Private","United States","","","","","","","","",
"8703","Allysta Pharmaceuticals","Private","United States","","","","","","","","",
"2745","Almac Group","Private","United Kingdom","","","","","","","","",
"774","Almirall Prodesfarma, S.A.","Public","Spain","","","","","","","","",
"428","Alnylam Pharmaceuticals, Inc.","Public","United States","8273376016","USD","-251312000","-486721000","-729243000","2069000","89912000","91799000",
"2899","Alopexx Pharmaceuticals, LLC","Private","United States","","","","","","","","",
"4647","Alpha Cancer Technologies, Inc.","Private","Canada","","","","","","","","",
"3724","alphaGEN Co., Ltd.","Private","Japan","","","","","","","","",
"8662","Alphamab Oncology","Private","China","","","","","","","","",
"2975","AlphaVax, Inc.","Private","United States","","","","","","","","",
"5562","Alpine Immune Sciences, Inc.","Public","United States","","","","","","","","",
"3512","ALS Therapy Development Institute","Private","United States","","","","","","","","",
"957","Alseres Pharmaceuticals, Inc.","Public","United States","94968","USD","-317123","-563537","-843781","18432","473730","473730",
"3486","Altacor Limited","Private","United Kingdom","","","","","","","","",
"9078","AltaThera Pharmaceuticals LLC","Private","United States","","","","","","","","",
"319","Alterity Therapeutics Limited","Public","Australia","","","","","","","","",
"3565","Altheos, Inc.","Private","United States","","","","","","","","",
"3698","Altheus Therapeutics, Inc.","Private","United States","","","","","","","","",
"5116","Altimmune, Inc. ","Public","United States","18210940","USD","-3973315","-51906240","-27823843","2634393","10738322","10551352",
"4515","Altiris Therapeutics, Inc.","Private","United States","","","","","","","","",
"8598","Altum Pharmaceuticals Inc.","Private","Canada","","","","","","","","",
"4495","Altus Formulation Inc.","Private","Canada","","","","","","","","",
"6272","Alveonix","Private","Switzerland","","","","","","","","",
"7779","Alvogen, Inc.","Private","United States","","","","","","","","",
"9081","Alvotech ","Private","Iceland","","","","","","","","",
"6970","ALX Oncology, Inc.","Private","United States","","","","","","","","",
"9121","AlzeCure Pharma AB","Public","Sweden","","","","","","","","",
"4479","Alzheon, Inc.","Public","United States","","","","","","","","",
"4194","Alzinova AB","Public","Sweden","","","","","","","","",
"4195","AlzProtect SAS","Private","France","","","","","","","","",
"512","AMAG Pharmaceuticals, Inc.","Public","United States","346392659","USD","16460000","-123026000","210039000","122238000","609946000","628584000",
"3943","Amakem Therapeutics","Private","Belgium","","","","","","","","",
"3550","Amarantus BioScience Holdings, Inc.","Public","United States","1228896","USD","-1586000","-23165000","-18264000","0","0","0",
"3829","Amarillo Biosciences, Inc.","Public","United States","14779921","USD","0","-511573","0","14908","250928","72174",
"528","Amarin Corporation plc","Public","Ireland","4676484684","USD","-21541000","-42515000","-80655000","55323000","181104000","205750000",
"5371","Amarna Therapeutics","Private","Netherlands","","","","","","","","",
"613","Ambrilia Biopharma, Inc.","Public","Canada","","","","","","","","",
"2614","Ambrx Inc.","Private","United States","","","","","","","","",
"8596","Ambys Medicines","Private","United States","","","","","","","","",
"8649","amcure GmbH","Private","Germany","","","","","","","","",
"7612","AmDerma Pharmaceuticals, LLC","Private","United States","","","","","","","","",
"7750","AMED Co., Ltd.","Private","Taiwan","","","","","","","","",
"7031","American Gene Technologies International Inc.","Private","United States","","","","","","","","",
"30","Amgen, Inc.","Public","United States","126857607095","USD","2824000000","11928000000","12031000000","5904000000","22849000000","23319000000",
"4843","Amherst Pharmaceuticals, LLC","Private","United States","","","","","","","","",
"7915","Amicrobe, Inc.","Private","United States","","","","","","","","",
"1259","Amicus Therapeutics, Inc.","Public","United States","","","","","","","","",
"7274","Aminex Therapeutics, Inc.","Private","United States","","","","","","","","",
"8211","AmmTeK","Private","France","","","","","","","","",
"4452","Amneal Pharmaceuticals, Inc.","Public","United States","","","","","","","","",
"6432","Amo Pharma Limited","Private","United Kingdom","","","","","","","","",
"4306","AM-Pharma B.V.","Private","Netherlands","","","","","","","","",
"888","Amphastar Pharmaceuticals, Inc.","Public","United States","1025229906","USD","6665000","11898000","4225000","75543000","240175000","265378000",
"8608","Amphera B.V.","Private","Netherlands","","","","","","","","",
"3267","Ampio Pharmaceuticals, Inc.","Public","United States","50188777","USD","-1593468","-14026927","-12078186","0","0","0",
"6707","Amplyx Pharmaceuticals","Private","United States","","","","","","","","",
"9255","AMR Centre Ltd.","Private","United Kingdom","","","","","","","","",
"4435","Amryt Pharma plc","Private","Germany","","","","","","","","",
"3025","Amunix, Inc.","Private","United States","","","","","","","","",
"4747","AmVac AG","Private","Switzerland","","","","","","","","",
"7134","Amygdala Neurosciences, Inc.","Private","United States","","","","","","","","",
"7798","Amylon Therapeutics B.V.","Private","Netherlands","","","","","","","","",
"7442","Amylyx Pharmaceuticals Inc.","Private","United States","","","","","","","","",
"4858","Amyndas Pharmaceuticals","Private","United States","","","","","","","","",
"5507","AnaBios Corporation","Private","United States","","","","","","","","",
"3582","Anaeropharma Science, Inc.","Private","Japan","","","","","","","","",
"6246","Anagenesis Biotechnologies","Private","France","","","","","","","","",
"4302","Anamar AB","Private","Sweden","","","","","","","","",
"4278","AnaptysBio, Inc.","Public","United States","","","","","","","","",
"2992","Anavex Life Sciences Corp.","Public","United States","117862989","USD","0","-19333591","","0","0","",
"1913","Anchiano Therapeutics Ltd.","Public","United States","","USD","242000","-4482000","-3281000","0","0","0",
"2678","Andarix Pharmaceuticals","Private","United States","","","","","","","","",
"4893","AndroScience Corporation","Private","United States","","","","","","","","",
"8919","Anelixis Therapeutics, LLC","Private","United States","","","","","","","","",
"3236","Anergis SA","Private","Switzerland","","","","","","","","",
"104","Anesiva, Inc.","Public","United States","","USD","-2156000","-47451000","4647000","0","304000","0",
"3864","Anexon, Inc.","Private","United States","","","","","","","","",
"858","AnGes, Inc.","Public","Japan","","","","","","","","",
"7755","Angiex, Inc.","Private","United States","","","","","","","","",
"4406","Angimmune LLC","Private","United States","","","","","","","","",
"2712","Angiochem, Inc.","Private","Canada","","","","","","","","",
"2882","Angion Biomedica Corp.","Private","United States","","","","","","","","",
"6794","AngioSoma Inc.","Public","United States","","","","","","","","",
"35","Angiotech Pharmaceuticals, Inc. ","Private","Canada","","","","","","","","",
"4569","Angita Pharmaceuticals B.V.","Private","Netherlands","","","","","","","","",
"8962","AnHeart Therapeutics","Private","United States","","","","","","","","",
"523","ANI Pharmaceuticals, Inc.","Public","United States","766483754","USD","18662000","56257000","63371000","50703000","176842000","191740000",
"1038","Anika Therapeutics, Inc.","Public","United States","794562560","USD","10086000","50019000","27214000","26787000","113420000","107987000",
"7985","Anixa Biosciences, Inc.","Public","United States","","","","","","","","",
"8384","Anji Pharmaceuticals, Inc.","Private","China","","","","","","","","",
"8972","Annexon Biosciences","Private","United States","","","","","","","","",
"7492","Annias Immunotherapeutics, Inc.","Private","United States","","","","","","","","",
"5322","Anokion SA","Private","Switzerland","","","","","","","","",
"4483","Anosis","Private","Turkey","","","","","","","","",
"3385","Ansun BioPharma, Inc.","Private","United States","","","","","","","","",
"7971","Antabio SAS","Private","France","","","","","","","","",
"8449","Antag Therapeutics ApS","Private","Denmark","","","","","","","","",
"1003","Antares Pharma, Inc.","Public","United States","519886187","USD","-737000","-14347000","-12492000","17868000","54515000","58772000",
"7713","Antengene Corporation","Private","China","","","","","","","","",
"9038","Antev Limited","Private","United Kingdom","","","","","","","","",
"1860","Anthera Pharmaceuticals, Inc.","Public","United States","1149271","USD","-10810000","-36151000","-36402000","0","0","0",
"9093","Anthos Therapeutics Inc.","Private","United States","","","","","","","","",
"9128","Anthrop Pharmaceuticals AB","Private","Sweden","","","","","","","","",
"4968","Antibe Therapeutics, Inc.","Public","Canada","0","","","","","","","",
"7879","AntibioTx A/S","Private","Denmark","","","","","","","","",
"9273","Antikor Biopharma Ltd","Private","United Kingdom","","","","","","","","",
"5125","AntiOp, Inc.","Private","United States","","","","","","","","",
"406","Antisense Therapeutics, Ltd.","Public","Australia","","","","","","","","",
"424","Antisoma plc","Public","United Kingdom","","","","","","","","",
"5689","Antiva Biosciences, Inc.","Private","United States","","","","","","","","",
"9099","AnTolRx, Inc.","Private","United States","","","","","","","","",
"3810","Anvyl LLC","Private","United States","","","","","","","","",
"5915","AOBiome, LLC","Private","United States","","","","","","","","",
"3599","AOP Orphan Pharmaceuticals AG","Private","Austria","","","","","","","","",
"4337","Aoxing Pharmaceutical Company, Inc.","Public","China","1829020","USD","1121193","7254068","1953667","5701989","32329525","30105316",
"7336","Apac Biotech Pvt Ltd","Private","India","","","","","","","","",
"3484","Apeiron Biologics AG","Private","Austria","","","","","","","","",
"2089","Apellis Pharmaceuticals, Inc.","Public","United States","1593352036","USD","0","-50755094","0","0","0","0",
"3254","APEPTICO GmbH","Private","Austria","","","","","","","","",
"7835","Apexian Pharmaceuticals, Inc.","Private","United States","","","","","","","","",
"3776","Apexigen, Inc.","Private","United States","","","","","","","","",
"3394","Aphios Corporation","Private","United States","","","","","","","","",
"9022","Apic Bio, Inc.","Private","United States","","","","","","","","",
"1403","Apitope Technology (Bristol) Ltd","Private","Belgium","","","","","","","","",
"4032","Apogee Biotechnology Corporation","Private","United States","","","","","","","","",
"7116","ApoGen Biotechnologies, Inc.","Private","United States","","","","","","","","",
"2732","Apogenix AG","Private","Germany","","","","","","","","",
"4943","APOGEPHA Arzneimittel GmbH","Private","Germany","","","","","","","","",
"5431","Apollo Endosurgery, Inc.","Public","United States","","","","","","","","",
"7119","ApolloBio Corporation","Private","China","","","","","","","","",
"6573","Apollomics, Inc.","Private","United States","","","","","","","","",
"4921","Aposense Ltd.","Public","Israel","","","","","","","","",
"3371","Apotex Inc. ","Private","Canada","","","","","","","","",
"9225","Appili Therapeutics Inc.","Private","Canada","","","","","","","","",
