Company ID,Company Name,Symbol,Company Type (Public/Private),Company Group,Country,Market Cap,Currency,Number of Employees Qtr,Number of Employees Ann,Number of Employees TTM
492,"INSYS Therapeutics, Inc.",INSY,Public,Biotech Industry,United States,,USD,0,343,0
495,"Cassava Sciences, Inc.",SAVA,Public,Biotech Industry,United States,,USD,0,9,0
496,"Harbor BioSciences, Inc.",HRBR,Public,Biotech Industry,United States,1363752,USD,9,9,
497,Genitope Corporation,GTOP,Public,Biotech Industry,United States,,USD,0,206,0
499,"Celldex Therapeutics, Inc.",CLDX,Public,Biotech Industry,United States,400120115,USD,0,192,0
500,Repligen Corp.,RGEN,Public,Biotech Industry,United States,3985057724,USD,0,476,0
504,"Palatin Technologies, Inc.",PTN,Public,Biotech Industry,United States,178309997,USD,0,19,0
508,Jazz Pharmaceuticals plc,JAZZ,Public,Biotech Industry,Ireland,7781485110,USD,0,1210,0
512,"AMAG Pharmaceuticals, Inc.",AMAG,Public,Biotech Industry,United States,346392659,USD,0,762,0
514,"Hemispherx Biopharma, Inc.",HEB,Public,Biotech Industry,United States,93005870,USD,0,25,0
515,Cerus Corporation,CERS,Public,Biotech Industry,United States,716438970,USD,0,215,0
519,CEL-SCI Corporation,CVM,Public,Biotech Industry,United States,223133240,USD,0,0,
522,Adamis Pharmaceuticals Corporation ,ADMP,Public,Biotech Industry,United States,45399703,USD,0,108,0
523,"ANI Pharmaceuticals, Inc.",ANIP,Public,Biotech Industry,United States,766483754,USD,0,173,0
524,"Pharmachem Laboratories, Inc. ",,Private,Biotech Industry,United States,,,,,
528,Amarin Corporation plc,AMRN,Public,Biotech Industry,Ireland,4676484684,USD,0,241,0
530,Lineage Cell Therapeutics,LCTX,Public,Biotech Industry,United States,116794217,USD,0,92,0
536,"Marnac, Inc.",,Private,Pharmaceutical Industry,United States,,,,,
537,KDL GmbH,,Private,Pharmaceutical Industry,Germany,,,,,
546,Biosynexus Incorporated,,Private,Biotech Industry,United States,,,,,
552,Azelon Pharmaceuticals,,Private,Pharmaceutical Industry,United States,,,,,
555,GENESIS Pharma,,Public,Pharmaceutical Industry,Greece,,USD,0,1494,0
556,Mallinckrodt plc,MNK,Public,Pharmaceutical Industry,United Kingdom,355747534,USD,0,3900,0
557,Arbutus Biopharma Corporation,ABUS,Public,Pharmaceutical Industry,Canada,76835970,USD,0,130,0
558,"FAES Farma, S.A.",FAE:SM,Public,Pharmaceutical Industry,Spain,,,,,
564,"Santen Pharmaceutical Co., Ltd.",4536:JP,Public,Pharmaceutical Industry,Japan,,,,,
566,"Cystic Fibrosis Foundation Therapeutics, Inc.",,Private,Biotech Industry,United States,,,,,
567,Revotar Biopharmaceuticals AG,,Private,Pharmaceutical Industry,Germany,,,,,
578,"Toray Industries, Inc.",3402:JP,Public,Pharmaceutical Industry,Japan,,,,,
579,Tris Pharma,,Private,Pharmaceutical Industry,United States,,,,,
582,Ferring Pharmaceuticals,,Private,Pharmaceutical Industry,Switzerland,,,,,
583,Akorn Inc.,AKRX,Public,Pharmaceutical Industry,United States,338829407,USD,0,2284,0
587,Galderma S.A.,,Private,Pharmaceutical Industry,Switzerland,,,,,
588,"Mountain View Pharmaceuticals, Inc.",,Private,Pharmaceutical Industry,United States,,,,,
589,LEO Pharma A/S,,Private,Biotech Industry,Denmark,,,,,
590,Verta Ltd.,,Public,Pharmaceutical Industry,Russia,,,,,
593,Grupo J Uriach S.L.,,Private,Biotech Industry,Spain,,,,,
598,"Formatech, Inc.",,Public,Pharmaceutical Industry,United States,,,,,
600,Cardinal Health Inc.,CAH,Public,Pharmaceutical Industry,United States,12748909339,USD,0,32300,0
601,ProQuest Pharmaceuticals Inc.,,Public,Pharmaceutical Industry,United States,,,,,
603,"VirRx, Inc.",,Private,Pharmaceutical Industry,United States,,,,,
610,"Grupo Ferrer Internacional, S.A.",,Private,Pharmaceutical Industry,Spain,,,,,
611,medac GmbH,,Private,Pharmaceutical Industry,Germany,,,,,
613,"Ambrilia Biopharma, Inc.",AMBFF,Public,Pharmaceutical Industry,Canada,,,,,
618,Shionogi & Co. Ltd.,4507:JP,Public,Pharmaceutical Industry,Japan,,,,,
620,Ardana Bioscience Ltd.,ARA:LN,Public,Pharmaceutical Industry,United Kingdom,,,,,
621,"Hainan Tianwang International Pharmaceutical, Ltd.",,Public,Pharmaceutical Industry,China,,,,,
622,Medwell Capital Corp.,MWC:CN,Public,Pharmaceutical Industry,Canada,,,,,
624,"BioWest Therapeutics, Inc.",BWE:CN,Public,Biotech Industry,Canada,,,,,
625,"Aegera Therapeutics, Inc.",,Private,Biotech Industry,Canada,,,,,
626,"Sosei Co., Ltd",4565:JP,Public,Pharmaceutical Industry,Japan,,,,,
628,Medison Pharma Ltd.,,Private,Pharmaceutical Industry,Israel,,,,,
631,"Synvista Therapeutics, Inc.",SYI,Public,Pharmaceutical Industry,United States,,USD,0,9,0
633,The Menarini Group,,Private,Pharmaceutical Industry,Italy,,,,,
636,"Otsuka Holdings Co., Ltd.",4768:JP,Public,Pharmaceutical Industry,Japan,,,,,
647,Indena SpA,,Private,Pharmaceutical Industry,Italy,,,,,
648,Bioclones Ltd.,,Private,Pharmaceutical Industry,South Africa,,,,,
650,"Enzo Biochem, Inc.",ENZ,Public,Pharmaceutical Industry,United States,142049211,USD,0,460,0
654,"Introgen Therapeutics, Inc.",INGNQ,Public,Biotech Industry,United States,,USD,0,80,0
655,Laboratorios Bago,,Public,Pharmaceutical Industry,Argentina,,,,,
657,Asahi Kasei Corporation,AHKSY,Public,Other,Japan,,,,,
658,Fuso Pharmaceuticals,4538:JP,Public,Pharmaceutical Industry,Japan,,,,,
662,XTL Biopharmaceuticals Ltd.,XTLB,Public,Other,Israel,987275134,USD,0,0,
665,"Epigenesis Pharmaceuticals, Inc.",,Private,Other,United States,,,,,
667,Mundipharma International Limited,,Private,Pharmaceutical Industry,United Kingdom,,,,,
672,"Kowa Company, Ltd.",,Private,Pharmaceutical Industry,Japan,,,,,
674,"Astralis, Ltd.",ASTR,Public,Pharmaceutical Industry,United States,,,,,
676,MediGene AG,MDG:GR,Public,Biotech Industry,Germany,,,,,
677,Tecnofarma International Ltd. ,,Public,Biotech Industry,Uruguay,,,,,
682,G Pohl Boskamp GmbH & Co.,,Private,Pharmaceutical Industry,Germany,,,,,
685,"Windtree Therapeutics, Inc.",WINT,Public,Pharmaceutical Industry,United States,15453260,USD,0,27,0
686,"Sumitomo Dainippon Pharma Co., Ltd.",4506:JP,Public,Pharmaceutical Industry,Japan,,,,,
689,Bachem,BANB:SW,Public,Pharmaceutical Industry,Switzerland,,,,,
694,"Merrimack Pharmaceuticals, Inc.",MACK,Public,Biotech Industry,United States,89930364,USD,0,72,0
695,"Alchemgen Therapeutics, Inc.",,Private,Biotech Industry,United States,,,,,
697,"Senju Pharmaceutical Co., Ltd.",,Private,Pharmaceutical Industry,Japan,,,,,
699,Royalty Pharma AG,,Private,Other,United States,,,,,
702,"Novavax, Inc.",NVAX,Public,Other,United States,,,,,
707,SKion GmbH,,Private,Biotech Industry,Germany,,,,,
709,CytRx Corporation,CYTR,Public,Biotech Industry,United States,10764000,USD,0,20,0
712,"MEI Pharma, Inc.",MEIP,Public,Biotech Industry,United States,107399420,USD,0,32,0
717,Medicure Inc.,MCUJF,Public,Biotech Industry,Canada,55080321,CAD,55,55,
720,Corcept Therapeutics Inc.,CORT,Public,Biotech Industry,United States,1448016346,USD,0,136,0
728,Correvio Pharma Corp.,CORV,Public,Biotech Industry,Canada,,,,,
733,Orion Corporation,ORINY,Public,Pharmaceutical Industry,Finland,,,,,
734,"Vanda Pharmaceuticals, Inc.",VNDA,Public,Biotech Industry,United States,759474262,USD,0,273,0
735,"Innoviva, Inc.",INVA,Public,Biotech Industry,United States,1119519953,USD,0,12,0
736,Intellipharmaceutics International Inc.,IPCI,Public,Biotech Industry,Canada,,USD,62,62,
737,Aurinia Pharmaceuticals Inc.,AUPH,Public,Biotech Industry,Canada,484978643,,,,
738,QuatRx Pharmaceuticals Co.,,Private,Biotech Industry,United States,,,,,
742,"Cytokinetics, Inc.",CYTK,Public,Biotech Industry,United States,715071463,USD,0,137,0
743,DRI Capital Inc.,,Private,Other,Canada,,,,,
746,"Nippon Kayaku Co., Ltd.",4272:JP,Public,Pharmaceutical Industry,Japan,,,,,
748,Zealand Pharma A/S,ZEAL,Public,Biotech Industry,Denmark,0,,,,
749,Cancer Research Technology Limited,,Private,Other,United Kingdom,,,,,
751,Samaritan Pharmaceuticals,SPHC,Public,Biotech Industry,United States,,USD,8,8,
754,Avexa Limited,AVX:AU,Public,Pharmaceutical Industry,Australia,,,,,
755,PAION AG,PA8G:GR,Public,Biotech Industry,Germany,,,,,
757,Advanced Viral Research Corp.,ADVR,Public,Biotech Industry,United States,,USD,0,7,0
759,Oncoscience AG,,Private,Biotech Industry,Germany,,,,,
763,"TG Therapeutics, Inc.",TGTX,Public,Pharmaceutical Industry,United States,498212610,USD,0,75,0
764,"Peptimmune, Inc.",,Private,Biotech Industry,United States,,,,,
765,IXICO Plc,IXI,Public,Biotech Industry,United Kingdom,,,,,
766,Dr. Reddy's Laboratories,RDY,Public,Biotech Industry,India,5816836399,INR,23524,23524,
767,Basilea Pharmaceutica AG,BSLN:SW,Public,Biotech Industry,Switzerland,,,,,
768,"Tamir Biotechnology, Inc.",ACEL,Public,Biotech Industry,United States,,USD,0,0,0
770,Fennec Pharmaceuticals Inc.,FENC,Public,Biotech Industry,United States,80297697,USD,0,3,0
771,"Oncolytics Biotech, Inc.",ONCY,Public,Biotech Industry,Canada,8806617,CAD,23,23,
774,"Almirall Prodesfarma, S.A.",ALM:SM,Public,Pharmaceutical Industry,Spain,,,,,
775,"PharmaMar, S.A.",ZEL:SM,Public,Biotech Industry,Spain,,,,,
776,"BioNumerik Pharmaceuticals, Inc. ",,Private,Biotech Industry,United States,,,,,
777,"Cyclacel Pharmaceuticals, Inc.",CYCC,Public,Biotech Industry,United States,5248927,USD,0,12,0
780,Activate Immunotherapy,,Private,Biotech Industry,United States,,,,,
786,Panacos Pharmaceuticals,PANC,Public,Biotech Industry,United States,16092,USD,0,41,0
789,"Halozyme Therapeutics, Inc.",HALO,Public,Biotech Industry,United States,2314366263,USD,0,255,0
790,"LG Chem, Ltd.",051910:KS,Public,Biotech Industry,Korea (South),,,,,
797,Pharming Group N.V.,PHARM:NA,Public,Biotech Industry,Netherlands,,,,,
800,"Tapestry Pharmaceuticals, Inc.",TPPHQ,Public,Biotech Industry,United States,,USD,0,38,0
802,Symphony Capital LLC,,Private,Other,United States,,,,,
803,"Aderis Pharmaceuticals, Inc.",,Private,Other,United States,,,,,
804,Newron Pharmaceuticals S.p.A.,NWRN:SW,Public,Biotech Industry,Italy,,,,,
808,axxonis Pharma AG,,Private,Pharmaceutical Industry,Germany,,,,,
809,MannKind Corporation,MNKD,Public,Biotech Industry,United States,167577451,USD,0,250,0
811,"CymaBay Therapeutics, Inc.",CBAY,Public,Biotech Industry,United States,328698388,USD,0,26,0
813,"Fidia Farmaceutici, SpA",FDA:IM,Public,Pharmaceutical Industry,Italy,,,,,
814,"Astellas Pharma, Inc.",4503:JP,Public,Pharmaceutical Industry,Japan,,,,,
815,"PTC Therapeutics, Inc.",PTCT,Public,Biotech Industry,United States,2203867149,USD,0,366,0
817,"AVAX Technologies, Inc. ",AVXT,Public,Biotech Industry,United States,142605,USD,0,29,0
818,Vectura Group plc,VEC:LN,Public,Pharmaceutical Industry,United Kingdom,,,,,
819,"Inovio Pharmaceuticals, Inc.",INO,Public,Biotech Industry,United States,207856599,USD,0,278,0
821,"Viron Therapeutics, Inc.",,Private,Biotech Industry,Canada,,,,,
825,"Achillion Pharmaceuticals, Inc.",ACHN,Public,Biotech Industry,United States,590504884,USD,0,88,0
826,Takeda Pharmaceutical Company Ltd,TAK,Public,Pharmaceutical Industry,Japan,,,,,
829,Celtic Pharmaceutical Holdings L.P.,,Private,Other,United States,,,,,
831,Avadel Pharmaceuticals plc,AVDL,Public,Biotech Industry,Ireland,86237992,USD,0,169,0
